Variable / Field Name,Form Name,Auto extraction,concept_cd,concept_desc,concept_path,Checked by Simran,Checked by Alba
wbc_unit,laboratory_values,Yes,LAB:3775652,WBC,\i2b2\Lab View\Laboratory\Hematology\WBC\LAB:3775652\,,
wbc_unit_other,laboratory_values,Yes,LAB:3775652,WBC,\i2b2\Lab View\Laboratory\Hematology\WBC\LAB:3775652\,,
hemoglobin_obtained,laboratory_values,Yes,LAB:3775655,Hemoglobin,\i2b2\Lab View\Laboratory\Hematology\Hemoglobin\LAB:3775655\,,
hemoglobin_date,laboratory_values,Yes,LAB:3775655,Hemoglobin,\i2b2\Lab View\Laboratory\Hematology\Hemoglobin\LAB:3775655\,,
hemoglobin_value,laboratory_values,Yes,LAB:3775655,Hemoglobin,\i2b2\Lab View\Laboratory\Hematology\Hemoglobin\LAB:3775655\,,
hemoglobin_unit,laboratory_values,Yes,LAB:3775655,Hemoglobin,\i2b2\Lab View\Laboratory\Hematology\Hemoglobin\LAB:3775655\,,
hematocrit_obtained,laboratory_values,Yes,LAB:3775656,Hematocrit,\i2b2\Lab View\Laboratory\Hematology\Hematocrit\LAB:3775656\,,
hematocrit_date,laboratory_values,Yes,LAB:3775656,Hematocrit,\i2b2\Lab View\Laboratory\Hematology\Hematocrit\LAB:3775656\,,
hematocrit_value,laboratory_values,Yes,LAB:3775656,Hematocrit,\i2b2\Lab View\Laboratory\Hematology\Hematocrit\LAB:3775656\,,
hematocrit_unit,laboratory_values,Yes,LAB:3775656,Hematocrit,\i2b2\Lab View\Laboratory\Hematology\Hematocrit\LAB:3775656\,,
platelets_obtained,laboratory_values,Yes,LAB:3775660,Platelet,\i2b2\Lab View\Laboratory\Hematology\Platelet\LAB:3775660\,,
platelets_date,laboratory_values,Yes,LAB:3775660,Platelet,\i2b2\Lab View\Laboratory\Hematology\Platelet\LAB:3775660\,,
platelets_value,laboratory_values,Yes,LAB:3775660,Platelet,\i2b2\Lab View\Laboratory\Hematology\Platelet\LAB:3775660\,,
platelets_unit,laboratory_values,Yes,LAB:3775660,Platelet,\i2b2\Lab View\Laboratory\Hematology\Platelet\LAB:3775660\,,
platelets_unit_other,laboratory_values,Yes,LAB:3775660,Platelet,\i2b2\Lab View\Laboratory\Hematology\Platelet\LAB:3775660\,,
lymphocyt_obtained,laboratory_values,Yes,LAB:3775715,Lymphocyte,\i2b2\Lab View\Laboratory\Hematology\Lymphocyte\LAB:3775715\,,
lymphocyt_date,laboratory_values,Yes,LAB:3775715,Lymphocyte,\i2b2\Lab View\Laboratory\Hematology\Lymphocyte\LAB:3775715\,,
lymphocyt_value,laboratory_values,Yes,LAB:3775715,Lymphocyte,\i2b2\Lab View\Laboratory\Hematology\Lymphocyte\LAB:3775715\,,
lymphocyt_unit,laboratory_values,Yes,LAB:3775715,Lymphocyte,\i2b2\Lab View\Laboratory\Hematology\Lymphocyte\LAB:3775715\,,
neutrophil_obtained,laboratory_values,Yes,LAB:3775714,Neutrophil/Band,\i2b2\Lab View\Laboratory\Hematology\Neutrophil/Band\LAB:3775714\,,
neutrophil_date,laboratory_values,Yes,LAB:3775714,Neutrophil/Band,\i2b2\Lab View\Laboratory\Hematology\Neutrophil/Band\LAB:3775714\,,
neutrophil_value,laboratory_values,Yes,LAB:3775714,Neutrophil/Band,\i2b2\Lab View\Laboratory\Hematology\Neutrophil/Band\LAB:3775714\,,
neutrophil_unit,laboratory_values,Yes,LAB:3775714,Neutrophil/Band,\i2b2\Lab View\Laboratory\Hematology\Neutrophil/Band\LAB:3775714\,,
anc,laboratory_values,,,,,,
alc,laboratory_values,Yes,LAB:3775721,Absolute Lymphocyte Count,\i2b2\Lab View\Laboratory\Hematology\Absolute Lymphocyte Count\LAB:3775721\,,
nl_ratio,laboratory_values,Yes,,,,,
pt_seconds_obtained,laboratory_values,Yes,LAB:3775723,PT (Prothrombin),\i2b2\Lab View\Laboratory\Coagulation\PT (Prothrombin)\LAB:3775723\,,
pt_seconds_date,laboratory_values,Yes,LAB:3775723,PT (Prothrombin),\i2b2\Lab View\Laboratory\Coagulation\PT (Prothrombin)\LAB:3775723\,,
pt_seconds_value,laboratory_values,Yes,LAB:3775723,PT (Prothrombin),\i2b2\Lab View\Laboratory\Coagulation\PT (Prothrombin)\LAB:3775723\,,
pt_seconds_unit,laboratory_values,Yes,LAB:3775723,PT (Prothrombin),\i2b2\Lab View\Laboratory\Coagulation\PT (Prothrombin)\LAB:3775723\,,
inr_units_obtained,laboratory_values,Yes,LAB:3775729,,,,
inr_units_obtained,laboratory_values,Yes,LAB:3775730,,,,
inr_units_obtained,laboratory_values,Yes,LAB:4013230,,,,
inr_units_date,laboratory_values,Yes,LAB:3775729,,,,
inr_units_date,laboratory_values,Yes,LAB:3775730,,,,
inr_units_date,laboratory_values,Yes,LAB:4013230,,,,
inr_units_value,laboratory_values,Yes,LAB:3775729,,,,
inr_units_value,laboratory_values,Yes,LAB:3775730,,,,
inr_units_value,laboratory_values,Yes,LAB:4013230,,,,
inr_units_unit,laboratory_values,Yes,LAB:3775729,,,,
inr_units_unit,laboratory_values,Yes,LAB:3775730,,,,
inr_units_unit,laboratory_values,Yes,LAB:4013230,,,,
aptt_ptt_obtained,laboratory_values,Yes,LAB:3775726,,,,
aptt_ptt_obtained,laboratory_values,Yes,LAB:3775725,,,,
aptt_ptt_obtained,laboratory_values,Yes,LAB:3774464,,,,
aptt_ptt_date,laboratory_values,Yes,LAB:3775726,,,,
aptt_ptt_date,laboratory_values,Yes,LAB:3775725,,,,
aptt_ptt_date,laboratory_values,Yes,LAB:3774464,,,,
aptt_ptt_value,laboratory_values,Yes,LAB:3775726,,,,
aptt_ptt_value,laboratory_values,Yes,LAB:3775725,,,,
aptt_ptt_value,laboratory_values,Yes,LAB:3774464,,,,
aptt_ptt_unit,laboratory_values,Yes,LAB:3775726,,,,
aptt_ptt_unit,laboratory_values,Yes,LAB:3775725,,,,
aptt_ptt_unit,laboratory_values,Yes,LAB:3774464,,,,
fibrinogen_obtained,laboratory_values,Yes,LAB:3775728,Fibrinogen,\i2b2\Lab View\Laboratory\Coagulation\Fibrinogen\LAB:3775728\,,
fibrinogen_date,laboratory_values,Yes,LAB:3775728,Fibrinogen,\i2b2\Lab View\Laboratory\Coagulation\Fibrinogen\LAB:3775728\,,
fibrinogen_value,laboratory_values,Yes,LAB:3775728,Fibrinogen,\i2b2\Lab View\Laboratory\Coagulation\Fibrinogen\LAB:3775728\,,
fibrinogen_unit,laboratory_values,Yes,LAB:3775728,Fibrinogen,\i2b2\Lab View\Laboratory\Coagulation\Fibrinogen\LAB:3775728\,,
thrombin_tm_obtained,laboratory_values,Yes,LAB:3775187,Thrombin Time,\i2b2\Lab View\Laboratory\Coagulation\Thrombin Time\LAB:3775187\,,
thrombin_tm_date,laboratory_values,Yes,LAB:3775187,Thrombin Time,\i2b2\Lab View\Laboratory\Coagulation\Thrombin Time\LAB:3775187\,,
thrombin_tm_value,laboratory_values,Yes,LAB:3775187,Thrombin Time,\i2b2\Lab View\Laboratory\Coagulation\Thrombin Time\LAB:3775187\,,
thrombin_tm_unit,laboratory_values,Yes,LAB:3775187,Thrombin Time,\i2b2\Lab View\Laboratory\Coagulation\Thrombin Time\LAB:3775187\,,
d_dimer_obtained,laboratory_values,Yes,LAB:3726100,D-Dimer,\i2b2\Lab View\Laboratory\Coagulation\D-Dimer\LAB:3726100\,,
d_dimer_date,laboratory_values,Yes,LAB:3726100,D-Dimer,\i2b2\Lab View\Laboratory\Coagulation\D-Dimer\LAB:3726100\,,
d_dimer_value,laboratory_values,Yes,LAB:3726100,D-Dimer,\i2b2\Lab View\Laboratory\Coagulation\D-Dimer\LAB:3726100\,,
d_dimer_unit,laboratory_values,Yes,LAB:3726100,D-Dimer,\i2b2\Lab View\Laboratory\Coagulation\D-Dimer\LAB:3726100\,,
sodium_obtained,laboratory_values,Yes,LAB:3710029,Sodium,\i2b2\Lab View\Laboratory\Chemistry\Sodium\LAB:3710029\,,
sodium_date,laboratory_values,Yes,LAB:3710029,Sodium,\i2b2\Lab View\Laboratory\Chemistry\Sodium\LAB:3710029\,,
sodium_value,laboratory_values,Yes,LAB:3710029,Sodium,\i2b2\Lab View\Laboratory\Chemistry\Sodium\LAB:3710029\,,
sodium_unit,laboratory_values,Yes,LAB:3710029,Sodium,\i2b2\Lab View\Laboratory\Chemistry\Sodium\LAB:3710029\,,
potassium_obtained,laboratory_values,Yes,LAB:3710032,Potassium,\i2b2\Lab View\Laboratory\Chemistry\Potassium\LAB:3710032\,,
potassium_date,laboratory_values,Yes,LAB:3710032,Potassium,\i2b2\Lab View\Laboratory\Chemistry\Potassium\LAB:3710032\,,
potassium_value,laboratory_values,Yes,LAB:3710032,Potassium,\i2b2\Lab View\Laboratory\Chemistry\Potassium\LAB:3710032\,,
potassium_unit,laboratory_values,Yes,LAB:3710032,Potassium,\i2b2\Lab View\Laboratory\Chemistry\Potassium\LAB:3710032\,,
glucose_obtained,laboratory_values,Yes,LAB:3775603,Glucose Level,\i2b2\Lab View\Laboratory\Chemistry\Glucose Level\LAB:3775603\,,
glucose_date,laboratory_values,Yes,LAB:3775603,Glucose Level,\i2b2\Lab View\Laboratory\Chemistry\Glucose Level\LAB:3775603\,,
glucose_value,laboratory_values,Yes,LAB:3775603,Glucose Level,\i2b2\Lab View\Laboratory\Chemistry\Glucose Level\LAB:3775603\,,
glucose_unit,laboratory_values,Yes,LAB:3775603,Glucose Level,\i2b2\Lab View\Laboratory\Chemistry\Glucose Level\LAB:3775603\,,
urea_obtained,laboratory_values,Yes,LAB:3775159,"Urea Nitrogen, Urine","\i2b2\Lab View\Laboratory\Urine\Urea Nitrogen, Urine\LAB:3775159\",,
urea_date,laboratory_values,Yes,LAB:3775159,"Urea Nitrogen, Urine","\i2b2\Lab View\Laboratory\Urine\Urea Nitrogen, Urine\LAB:3775159\",,
urea_value,laboratory_values,Yes,LAB:3775159,"Urea Nitrogen, Urine","\i2b2\Lab View\Laboratory\Urine\Urea Nitrogen, Urine\LAB:3775159\",,
urea_unit,laboratory_values,Yes,LAB:3775159,"Urea Nitrogen, Urine","\i2b2\Lab View\Laboratory\Urine\Urea Nitrogen, Urine\LAB:3775159\",,
creatinine_obtained,laboratory_values,Yes,LAB:2700655,Creatinine,\i2b2\Lab View\Laboratory\Chemistry\Creatinine\LAB:2700655\,,
creatinine_date,laboratory_values,Yes,LAB:2700655,Creatinine,\i2b2\Lab View\Laboratory\Chemistry\Creatinine\LAB:2700655\,,
creatinine_value,laboratory_values,Yes,LAB:2700655,Creatinine,\i2b2\Lab View\Laboratory\Chemistry\Creatinine\LAB:2700655\,,
creatinine_unit,laboratory_values,Yes,LAB:2700655,Creatinine,\i2b2\Lab View\Laboratory\Chemistry\Creatinine\LAB:2700655\,,
lactate_obtained,laboratory_values,Yes,,,,,
lactate_date,laboratory_values,Yes,,,,,
lactate_value,laboratory_values,Yes,,,,,
lactate_unit,laboratory_values,Yes,,,,,
ast_sgot_obtained,laboratory_values,Yes,LAB:3775137,AST (Aspartate Aminotransferase),\i2b2\Lab View\Laboratory\Chemistry\AST (Aspartate Aminotransferase)\LAB:3775137\,,
ast_sgot_date,laboratory_values,Yes,LAB:3775137,AST (Aspartate Aminotransferase),\i2b2\Lab View\Laboratory\Chemistry\AST (Aspartate Aminotransferase)\LAB:3775137\,,
ast_sgot_value,laboratory_values,Yes,LAB:3775137,AST (Aspartate Aminotransferase),\i2b2\Lab View\Laboratory\Chemistry\AST (Aspartate Aminotransferase)\LAB:3775137\,,
ast_sgot_unit,laboratory_values,Yes,LAB:3775137,AST (Aspartate Aminotransferase),\i2b2\Lab View\Laboratory\Chemistry\AST (Aspartate Aminotransferase)\LAB:3775137\,,
ast_sgpt_obtained,laboratory_values,Yes,LAB:3775138,ALT,\i2b2\Lab View\Laboratory\Chemistry\ALT\LAB:3775138\,,
ast_sgpt_date,laboratory_values,Yes,LAB:3775138,ALT,\i2b2\Lab View\Laboratory\Chemistry\ALT\LAB:3775138\,,
ast_sgpt_value,laboratory_values,Yes,LAB:3775138,ALT,\i2b2\Lab View\Laboratory\Chemistry\ALT\LAB:3775138\,,
ast_sgpt_unit,laboratory_values,Yes,LAB:3775138,ALT,\i2b2\Lab View\Laboratory\Chemistry\ALT\LAB:3775138\,,
ggtp_obtained,laboratory_values,Yes,LAB:3775139,GGTP (Gamma Glutamyl Transpeptidase),\i2b2\Lab View\Laboratory\Chemistry\GGTP (Gamma Glutamyl Transpeptidase)\LAB:3775139\,,
ggtp_date,laboratory_values,Yes,LAB:3775139,GGTP (Gamma Glutamyl Transpeptidase),\i2b2\Lab View\Laboratory\Chemistry\GGTP (Gamma Glutamyl Transpeptidase)\LAB:3775139\,,
ggtp_value,laboratory_values,Yes,LAB:3775139,GGTP (Gamma Glutamyl Transpeptidase),\i2b2\Lab View\Laboratory\Chemistry\GGTP (Gamma Glutamyl Transpeptidase)\LAB:3775139\,,
ggtp_unit,laboratory_values,Yes,LAB:3775139,GGTP (Gamma Glutamyl Transpeptidase),\i2b2\Lab View\Laboratory\Chemistry\GGTP (Gamma Glutamyl Transpeptidase)\LAB:3775139\,,
ldh_obtained,laboratory_values,Yes,LAB:3775930,,,,
ldh_obtained,laboratory_values,Yes,LAB:3775623,,,,
ldh_date,laboratory_values,Yes,LAB:3775930,,,,
ldh_date,laboratory_values,Yes,LAB:3775623,,,,
ldh_value,laboratory_values,Yes,LAB:3775930,,,,
ldh_value,laboratory_values,Yes,LAB:3775623,,,,
ldh_unit,laboratory_values,Yes,LAB:3775930,,,,
ldh_unit,laboratory_values,Yes,LAB:3775623,,,,
bnp_obtained,laboratory_values,Yes,LAB:3998842,B-Type Natriuretic Peptide,\i2b2\Lab View\Laboratory\Chemistry\B-Type Natriuretic Peptide\LAB:3998842\,,
bnp_date,laboratory_values,Yes,LAB:3998842,B-Type Natriuretic Peptide,\i2b2\Lab View\Laboratory\Chemistry\B-Type Natriuretic Peptide\LAB:3998842\,,
bnp_value,laboratory_values,Yes,LAB:3998842,B-Type Natriuretic Peptide,\i2b2\Lab View\Laboratory\Chemistry\B-Type Natriuretic Peptide\LAB:3998842\,,
bnp_unit,laboratory_values,Yes,LAB:3998842,B-Type Natriuretic Peptide,\i2b2\Lab View\Laboratory\Chemistry\B-Type Natriuretic Peptide\LAB:3998842\,,
nt_probnp_obtained,laboratory_values,,,,,,
nt_probnp_date,laboratory_values,,,,,,
nt_probnp_value,laboratory_values,,,,,,
nt_probnp_unit,laboratory_values,,,,,,
albumin_obtained,laboratory_values,Yes,LAB:3775084,Albumin,\i2b2\Lab View\Laboratory\Chemistry\Albumin\LAB:3775084\,,
albumin_date,laboratory_values,Yes,LAB:3775084,Albumin,\i2b2\Lab View\Laboratory\Chemistry\Albumin\LAB:3775084\,,
albumin_value,laboratory_values,Yes,LAB:3775084,Albumin,\i2b2\Lab View\Laboratory\Chemistry\Albumin\LAB:3775084\,,
albumin_unit,laboratory_values,Yes,LAB:3775084,Albumin,\i2b2\Lab View\Laboratory\Chemistry\Albumin\LAB:3775084\,,
total_protein_obtained,laboratory_values,Yes,LAB:3775132,Total Protein,\i2b2\Lab View\Laboratory\Chemistry\Total Protein\LAB:3775132\,,
total_protein_date,laboratory_values,Yes,LAB:3775132,Total Protein,\i2b2\Lab View\Laboratory\Chemistry\Total Protein\LAB:3775132\,,
total_protein_value,laboratory_values,Yes,LAB:3775132,Total Protein,\i2b2\Lab View\Laboratory\Chemistry\Total Protein\LAB:3775132\,,
total_protein_unit,laboratory_values,Yes,LAB:3775132,Total Protein,\i2b2\Lab View\Laboratory\Chemistry\Total Protein\LAB:3775132\,,
creatine_kin_obtained,laboratory_values,Yes,LAB:3775581,CK,\i2b2\Lab View\Laboratory\Chemistry\CK\LAB:3775581\,,
creatine_kin_date,laboratory_values,Yes,LAB:3775581,CK,\i2b2\Lab View\Laboratory\Chemistry\CK\LAB:3775581\,,
creatine_kin_value,laboratory_values,Yes,LAB:3775581,CK,\i2b2\Lab View\Laboratory\Chemistry\CK\LAB:3775581\,,
creatine_kin_unit,laboratory_values,Yes,LAB:3775581,CK,\i2b2\Lab View\Laboratory\Chemistry\CK\LAB:3775581\,,
troponin_t_obtained,laboratory_values,Yes,LAB:3727476,Troponin T,\i2b2\Lab View\Laboratory\Chemistry\Troponin T\LAB:3727476\,,
troponin_t_date,laboratory_values,Yes,LAB:3727476,Troponin T,\i2b2\Lab View\Laboratory\Chemistry\Troponin T\LAB:3727476\,,
troponin_t_value,laboratory_values,Yes,LAB:3727476,Troponin T,\i2b2\Lab View\Laboratory\Chemistry\Troponin T\LAB:3727476\,,
troponin_t_unit,laboratory_values,Yes,LAB:3727476,Troponin T,\i2b2\Lab View\Laboratory\Chemistry\Troponin T\LAB:3727476\,,
troponin_l_obtained,laboratory_values,Yes,LAB:3727475,Troponin I,\i2b2\Lab View\Laboratory\Chemistry\Troponin I\LAB:3727475\,,
troponin_l_date,laboratory_values,Yes,LAB:3727475,Troponin I,\i2b2\Lab View\Laboratory\Chemistry\Troponin I\LAB:3727475\,,
troponin_l_value,laboratory_values,Yes,LAB:3727475,Troponin I,\i2b2\Lab View\Laboratory\Chemistry\Troponin I\LAB:3727475\,,
troponin_l_unit,laboratory_values,Yes,LAB:3727475,Troponin I,\i2b2\Lab View\Laboratory\Chemistry\Troponin I\LAB:3727475\,,
total_bilir_obtained,laboratory_values,Yes,LAB:3775097,"Bilirubin, Total","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Total\LAB:3775097\",,
total_bilir_date,laboratory_values,Yes,LAB:3775097,"Bilirubin, Total","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Total\LAB:3775097\",,
total_bilir_value,laboratory_values,Yes,LAB:3775097,"Bilirubin, Total","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Total\LAB:3775097\",,
total_bilir_unit,laboratory_values,Yes,LAB:3775097,"Bilirubin, Total","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Total\LAB:3775097\",,
direct_bilir_obtained,laboratory_values,Yes,LAB:3775096,"Bilirubin, Direct","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Direct\LAB:3775096\",,
direct_bilir_date,laboratory_values,Yes,LAB:3775096,"Bilirubin, Direct","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Direct\LAB:3775096\",,
direct_bilir_value,laboratory_values,Yes,LAB:3775096,"Bilirubin, Direct","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Direct\LAB:3775096\",,
direct_bilir_unit,laboratory_values,Yes,LAB:3775096,"Bilirubin, Direct","\i2b2\Lab View\Laboratory\Chemistry\Bilirubin, Direct\LAB:3775096\",,
procalcit_obtained,laboratory_values,Yes,LAB:899263035,,,,
procalcit_date,laboratory_values,Yes,LAB:899263035,,,,
procalcit_value,laboratory_values,Yes,LAB:899263035,,,,
procalcit_unit,laboratory_values,Yes,LAB:899263035,,,,
crp_obtained,laboratory_values,Yes,LAB:3775578,C-Reactive Protein,\i2b2\Lab View\Laboratory\Chemistry\C-Reactive Protein\LAB:3775578\,,
crp_date,laboratory_values,Yes,LAB:3775578,C-Reactive Protein,\i2b2\Lab View\Laboratory\Chemistry\C-Reactive Protein\LAB:3775578\,,
crp_value,laboratory_values,Yes,LAB:3775578,C-Reactive Protein,\i2b2\Lab View\Laboratory\Chemistry\C-Reactive Protein\LAB:3775578\,,
crp_unit,laboratory_values,Yes,LAB:3775578,C-Reactive Protein,\i2b2\Lab View\Laboratory\Chemistry\C-Reactive Protein\LAB:3775578\,,
crp_unit_other,laboratory_values,Yes,LAB:3775578,C-Reactive Protein,\i2b2\Lab View\Laboratory\Chemistry\C-Reactive Protein\LAB:3775578\,,
