"CUI","LAT","SAB","TTY","LOINC CODE","LOINC DESCRIPTION","STY","eCRF TERM DESCRIPTION","LOINC WEBPAGE - EXTENDED DESCRIPTION","CLINICIAN REVIEW: DO THE DESCRIPTIONS MATCH?"
"C0366711","ENG","LNC","LN","4485-9","Complement C3:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C3 (mg/dL)","https://loinc.org/4485-9/",""
"C0366714","ENG","LNC","LN","4488-3","Complement C3a:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C3 (mg/dL)","https://loinc.org/4488-3/",""
"C0366715","ENG","LNC","LN","4489-1","Complement C3b:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C3 (mg/dL)","https://loinc.org/4489-1/",""
"C0366718","ENG","LNC","LN","4491-7","Complement C3c:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C3 (mg/dL)","https://loinc.org/4491-7/",""
"C1316863","ENG","LNC","LN","34401-0","Complement C3d:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C3 (mg/dL)","https://loinc.org/34401-0/",""
"C1317005","ENG","LNC","LN","34544-7","Complement C3 & C4 panel:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C3 (mg/dL)","https://loinc.org/34544-7/",""
"C4533063","ENG","LNC","LN","87723-3","Complement C3.functional:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C3 (mg/dL)","https://loinc.org/87723-3/",""
"C0366727","ENG","LNC","LN","4498-2","Complement C4:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/4498-2/",""
"C0366731","ENG","LNC","LN","4502-1","Complement C4b binding protein:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/4502-1/",""
"C0366732","ENG","LNC","LN","4503-9","Complement C4b binding protein:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/4503-9/",""
"C0942815","ENG","LNC","LN","26931-6","Complement C4:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/26931-6/",""
"C1526523","ENG","LNC","LN","38522-9","Complement C4b binding protein actual/Normal:RelMCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/38522-9/",""
"C2736369","ENG","LNC","LN","57949-0","Complement C4c:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/57949-0/",""
"C4037747","ENG","LNC","LN","76496-9","Complement C4:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/76496-9/",""
"C5212554","ENG","LNC","LN","93978-5","Complement C4.functional:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Complement levels: C4 (mg/dL)","https://loinc.org/93978-5/",""
"C0484539","ENG","LNC","LN","8116-6","Cells.CD19:NCnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD+19, Absolute","https://loinc.org/8116-6/",""
"C0803397","ENG","LNC","LN","20592-2","Cells.CD19:NCnc:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD+19, Absolute","https://loinc.org/20592-2/",""
"C1148208","ENG","LNC","LN","32524-1","Cells.CD19:NCnc:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD+19, Absolute","https://loinc.org/32524-1/",""
"C1717297","ENG","LNC","LN","43972-9","Cells.CD19:NCnc:Pt:CSF:Qn","Clinical Attribute","Lymphocyte Subsets: CD+19, Absolute","https://loinc.org/43972-9/",""
"C1979187","ENG","LNC","LN","51103-0","Blasts.CD19:ACnc:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD+19, Absolute","https://loinc.org/51103-0/",""
"C1979188","ENG","LNC","LN","51104-8","Blasts.CD19:ACnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD+19, Absolute","https://loinc.org/51104-8/",""
"C1979189","ENG","LNC","LN","51105-5","Blasts.CD19:ACnc:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD+19, Absolute","https://loinc.org/51105-5/",""
"C0484540","ENG","LNC","LN","8117-4","Cells.CD19/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/8117-4/",""
"C0797030","ENG","LNC","LN","13840-4","Blasts.CD19/100 blasts:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/13840-4/",""
"C0800936","ENG","LNC","LN","17829-3","Cells.CD19/100 cells:NFr:Pt:Body fld:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/17829-3/",""
"C0803398","ENG","LNC","LN","20593-0","Cells.CD19/100 cells:NFr:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/20593-0/",""
"C1148209","ENG","LNC","LN","32525-8","Cells.CD19/100 cells:NFr:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/32525-8/",""
"C1315226","ENG","LNC","LN","32755-1","Cells.CD19/100 cells:NFr:Pt:Bronchial:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/32755-1/",""
"C1977706","ENG","LNC","LN","51265-7","Cells.CD19/100 cells:NFr:Pt:CSF:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/51265-7/",""
"C1979185","ENG","LNC","LN","51101-4","Blasts.CD19/100 blasts:NFr:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/51101-4/",""
"C1979186","ENG","LNC","LN","51102-2","Blasts.CD19/100 blasts:NFr:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/51102-2/",""
"C1979316","ENG","LNC","LN","51264-0","Cells.CD19/100 cells:NFr:Pt:Tiss:Qn","Clinical Attribute","Lymphocyte Subsets: CD19+ (%)","https://loinc.org/51264-0/",""
"C0484547","ENG","LNC","LN","8122-4","Cells.CD3:NCnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/8122-4/",""
"C1978433","ENG","LNC","LN","51141-0","Blasts.cytoplasmic CD3:ACnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/51141-0/",""
"C1979203","ENG","LNC","LN","51147-7","Blasts.CD3:ACnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/51147-7/",""
"C3262483","ENG","LNC","LN","69029-7","Lymphocyte proliferation.tetanus toxoid.maximum/CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/69029-7/",""
"C3262848","ENG","LNC","LN","69013-1","Lymphocyte proliferation.phytohemagglutinin.maximum/CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/69013-1/",""
"C3262852","ENG","LNC","LN","69015-6","Lymphocyte proliferation.Candida albicans.maximum/CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/69015-6/",""
"C3481617","ENG","LNC","LN","69020-6","Lymphocyte proliferation.pokeweed mitogen stimulation/CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/69020-6/",""
"C4265461","ENG","LNC","LN","81758-5","Lymphocyte proliferation.anti-CD28.maximum/CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/81758-5/",""
"C4265462","ENG","LNC","LN","81757-7","Lymphocyte proliferation.Interleukin 2.maximum/CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/81757-7/",""
"C4265463","ENG","LNC","LN","81756-9","Lymphocyte proliferation.anti-CD3.maximum/CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/81756-9/",""
"C4266010","ENG","LNC","LN","80714-9","Cells.TCR gamma delta/100 Cells.CD3:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/80714-9/",""
"C4266011","ENG","LNC","LN","80713-1","Cells.TCR alpha beta/100 Cells.CD3:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/80713-1/",""
"C4318880","ENG","LNC","LN","85791-2","Cells.CD3+CD4+CD45RO+/100 cells.CD3:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/85791-2/",""
"C4483294","ENG","LNC","LN","85789-6","Cells.CD3+CD8+CD45RO+/100 cells.CD3:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/85789-6/",""
"C4533458","ENG","LNC","LN","88052-6","Cells.CD4-CD8-CD45R+TCR alpha beta+/100 cells.CD3:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3+, Absolute","https://loinc.org/88052-6/",""
"C0484536","ENG","LNC","LN","8112-5","Cells.CD3-CD16+CD56+/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3-%/CD16+ or CD56+%","https://loinc.org/8112-5/",""
"C0484549","ENG","LNC","LN","9728-7","Cells.CD3-CD16+CD56+:NCnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3-%/CD16+ or CD56+%","https://loinc.org/9728-7/",""
"C1626182","ENG","LNC","LN","42188-3","Cells.CD3+CD16+CD56+:NCnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3-%/CD16+ or CD56+%","https://loinc.org/42188-3/",""
"C1626183","ENG","LNC","LN","42189-1","Cells.CD3+CD16+CD56+/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3-%/CD16+ or CD56+%","https://loinc.org/42189-1/",""
"C1979054","ENG","LNC","LN","51010-7","Cells.CD3-CD16+CD56+CD244+/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3-%/CD16+ or CD56+%","https://loinc.org/51010-7/",""
"C1979207","ENG","LNC","LN","51150-1","Blasts.CD3+CD16+CD56+/100 blasts:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3-%/CD16+ or CD56+%","https://loinc.org/51150-1/",""
"C3654218","ENG","LNC","LN","73810-4","Cells.CD3-CD16+CD56+HLA-DR+/100 cells.CD3-CD16+CD56+:NFr:Pt:Bld:Qn:Flow cytometry","Clinical Attribute","Lymphocyte Subsets: CD3-%/CD16+ or CD56+%","https://loinc.org/73810-4/",""
"C0881717","ENG","LNC","LN","24467-3","Cells.CD3+CD4+:NCnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD4+, Absolute","https://loinc.org/24467-3/",""
"C1148199","ENG","LNC","LN","32515-9","Cells.CD3+CD4+:NCnc:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD4+, Absolute","https://loinc.org/32515-9/",""
"C1148216","ENG","LNC","LN","32532-4","Cells.CD3+CD4+:NCnc:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD4+, Absolute","https://loinc.org/32532-4/",""
"C1544853","ENG","LNC","LN","40898-9","Cells.CD3+CD4+:NCnc:Pt:Tiss:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD4+, Absolute","https://loinc.org/40898-9/",""
"C3172190","ENG","LNC","LN","63450-1","Cells.CD3+CD4+:NCnc:Pt:CSF:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD4+, Absolute","https://loinc.org/63450-1/",""
"C5144626","ENG","LNC","LN","92736-8","Cells.CD3+CD4+:NCnc:Pt:Bld:Qn:IA.rapid","Clinical Attribute","Lymphocyte Subsets: CD3+ CD4+, Absolute","https://loinc.org/92736-8/",""
"C0484548","ENG","LNC","LN","8123-2","Cells.CD3+CD4+/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD4+%","https://loinc.org/8123-2/",""
"C0800929","ENG","LNC","LN","17822-8","Cells.CD3+CD4+/100 cells:NFr:Pt:Body fld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD4+%","https://loinc.org/17822-8/",""
"C1148200","ENG","LNC","LN","32516-7","Cells.CD3+CD4+/100 cells:NFr:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD4+%","https://loinc.org/32516-7/",""
"C1148217","ENG","LNC","LN","32533-2","Cells.CD3+CD4+/100 cells:NFr:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD4+%","https://loinc.org/32533-2/",""
"C1544579","ENG","LNC","LN","40623-1","Cells.CD3+CD4+/100 cells:NFr:Pt:Bronchial:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD4+%","https://loinc.org/40623-1/",""
"C1715257","ENG","LNC","LN","43970-3","Cells.CD3+CD4+/100 cells:NFr:Pt:CSF:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD4+%","https://loinc.org/43970-3/",""
"C1979343","ENG","LNC","LN","51300-2","Cells.CD3+CD4+/100 cells:NFr:Pt:Tiss:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD4+%","https://loinc.org/51300-2/",""
"C0797321","ENG","LNC","LN","14135-8","Cells.CD3+CD8+:NCnc:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD8+, Absolute","https://loinc.org/14135-8/",""
"C1148201","ENG","LNC","LN","32517-5","Cells.CD3+CD8+:NCnc:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD8+, Absolute","https://loinc.org/32517-5/",""
"C1148218","ENG","LNC","LN","32534-0","Cells.CD3+CD8+:NCnc:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD8+, Absolute","https://loinc.org/32534-0/",""
"C1544854","ENG","LNC","LN","40899-7","Cells.CD3+CD8+:NCnc:Pt:Tiss:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD8+, Absolute","https://loinc.org/40899-7/",""
"C3172191","ENG","LNC","LN","63451-9","Cells.CD3+CD8+:NCnc:Pt:CSF:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ CD8+, Absolute","https://loinc.org/63451-9/",""
"C0484521","ENG","LNC","LN","8101-8","Cells.CD3+CD8+/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD8+%","https://loinc.org/8101-8/",""
"C0800931","ENG","LNC","LN","17824-4","Cells.CD3+CD8+/100 cells:NFr:Pt:Body fld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD8+%","https://loinc.org/17824-4/",""
"C1148202","ENG","LNC","LN","32518-3","Cells.CD3+CD8+/100 cells:NFr:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD8+%","https://loinc.org/32518-3/",""
"C1148219","ENG","LNC","LN","32535-7","Cells.CD3+CD8+/100 cells:NFr:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD8+%","https://loinc.org/32535-7/",""
"C1544580","ENG","LNC","LN","40624-9","Cells.CD3+CD8+/100 cells:NFr:Pt:Bronchial:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD8+%","https://loinc.org/40624-9/",""
"C1715258","ENG","LNC","LN","43971-1","Cells.CD3+CD8+/100 cells:NFr:Pt:CSF:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+%/CD8+%","https://loinc.org/43971-1/",""
"C0484550","ENG","LNC","LN","8124-0","Cells.CD3/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ (%)","https://loinc.org/8124-0/",""
"C0800343","ENG","LNC","LN","17216-3","Cells.cytoplasmic CD3/100 cells:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ (%)","https://loinc.org/17216-3/",""
"C1978429","ENG","LNC","LN","51138-6","Blasts.cytoplasmic CD3/100 blasts:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ (%)","https://loinc.org/51138-6/",""
"C1979199","ENG","LNC","LN","51144-4","Blasts.CD3/100 blasts:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ (%)","https://loinc.org/51144-4/",""
"C4739371","ENG","LNC","LN","90304-7","Cells.CD3/100 lymphocytes:NFr:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD3+ (%)","https://loinc.org/90304-7/",""
"C0364283","ENG","LNC","LN","2151-9","Creatine kinase:CCnc:Pt:CSF:Qn","Clinical Attribute","Creatine kinase (U/L)","https://loinc.org/2151-9/",""
"C0364289","ENG","LNC","LN","2156-8","Creatine kinase:CCnc:Pt:Amnio fld:Qn","Clinical Attribute","Creatine kinase (U/L)","https://loinc.org/2156-8/",""
"C0364290","ENG","LNC","LN","2157-6","Creatine kinase:CCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Creatine kinase (U/L)","https://loinc.org/2157-6/",""
"C0799834","ENG","LNC","LN","16688-4","Creatine kinase:CCnc:Pt:Body fld:Qn","Clinical Attribute","Creatine kinase (U/L)","https://loinc.org/16688-4/",""
"C1316623","ENG","LNC","LN","34160-2","Creatine kinase:PrThr:Pt:Body fld:Ord","Clinical Attribute","Creatine kinase (U/L)","https://loinc.org/34160-2/",""
"C1978760","ENG","LNC","LN","50756-6","Creatine kinase:MCnc:Pt:Bld:Qn","Clinical Attribute","Creatine kinase (U/L)","https://loinc.org/50756-6/",""
"C2598066","ENG","LNC","LN","53433-9","Creatine kinase:CCnc:Pt:Dial fld:Qn","Clinical Attribute","Creatine kinase (U/L)","https://loinc.org/53433-9/",""
"C0364294","ENG","LNC","LN","2160-0","Creatinine:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Creatinine (mg/dL)","https://loinc.org/2160-0/",""
"C0797856","ENG","LNC","LN","14682-9","Creatinine:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Creatinine (mg/dL)","https://loinc.org/14682-9/",""
"C1526484","ENG","LNC","LN","38483-4","Creatinine:MCnc:Pt:Bld:Qn","Clinical Attribute","Creatinine (mg/dL)","https://loinc.org/38483-4/",""
"C1716001","ENG","LNC","LN","44784-7","Creatinine:MCnc:Stdy^max:Ser/Plas:Qn","Clinical Attribute","Creatinine (mg/dL)","https://loinc.org/44784-7/",""
"C2739805","ENG","LNC","LN","35203-9","Creatinine:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Creatinine (mg/dL)","https://loinc.org/35203-9/",""
"C2924074","ENG","LNC","LN","59826-8","Creatinine:SCnc:Pt:Bld:Qn","Clinical Attribute","Creatinine (mg/dL)","https://loinc.org/59826-8/",""
"C0364121","ENG","LNC","LN","1988-5","C reactive protein:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","C-Reactive Protein, CRP (circle: mg/L or mg/dL)","https://loinc.org/1988-5/",""
"C0797809","ENG","LNC","LN","14634-0","C reactive protein:Titr:Pt:Ser/Plas:Qn","Clinical Attribute","C-Reactive Protein, CRP (circle: mg/L or mg/dL)","https://loinc.org/14634-0/",""
