ADMINMED:1048621881,NLM:RXNORM:2284718
ADMINMED:248547684,NLM:RXNORM:1599832
ADMINMED:248547729,NLM:RXNORM:4385
ADMINMED:248547744,NLM:RXNORM:6387
ADMINMED:248547744,NLM:RXNORM:8928
ADMINMED:248547776,NLM:RXNORM:35780
ADMINMED:248547779,NLM:RXNORM:35780
ADMINMED:262800871,NLM:RXNORM:1012892
ADMINMED:269648406,NLM:RXNORM:1037042
ADMINMED:269648406,NLM:RXNORM:1546356
ADMINMED:269648485,NLM:RXNORM:401713
ADMINMED:271068615,NLM:RXNORM:1005921
ADMINMED:271068740,NLM:RXNORM:1045453
ADMINMED:2796889,NLM:RXNORM:712
ADMINMED:2796892,NLM:RXNORM:114202
ADMINMED:2796895,NLM:RXNORM:719
ADMINMED:2796897,NLM:RXNORM:723
ADMINMED:2796899,NLM:RXNORM:48203
ADMINMED:2796899,NLM:RXNORM:723
ADMINMED:2796901,NLM:RXNORM:3288
ADMINMED:2796901,NLM:RXNORM:725
ADMINMED:2796902,NLM:RXNORM:732
ADMINMED:2796905,NLM:RXNORM:236594
ADMINMED:2796907,NLM:RXNORM:733
ADMINMED:2796908,NLM:RXNORM:10167
ADMINMED:2796908,NLM:RXNORM:733
ADMINMED:2796914,NLM:RXNORM:72435
ADMINMED:2796915,NLM:RXNORM:84857
ADMINMED:2796920,NLM:RXNORM:404774
ADMINMED:2796921,NLM:RXNORM:1543095
ADMINMED:2796921,NLM:RXNORM:4257
ADMINMED:2796922,NLM:RXNORM:314504
ADMINMED:2796925,NLM:RXNORM:1001
ADMINMED:2796925,NLM:RXNORM:1399
ADMINMED:2796926,NLM:RXNORM:1009
ADMINMED:2796933,NLM:RXNORM:161
ADMINMED:2796933,NLM:RXNORM:1886
ADMINMED:2796933,NLM:RXNORM:19860
ADMINMED:2796951,NLM:RXNORM:161
ADMINMED:2796951,NLM:RXNORM:22892
ADMINMED:2796951,NLM:RXNORM:27946
ADMINMED:2796956,NLM:RXNORM:14845
ADMINMED:2796957,NLM:RXNORM:358255
ADMINMED:2796960,NLM:RXNORM:15202
ADMINMED:2796961,NLM:RXNORM:1091
ADMINMED:2796962,NLM:RXNORM:1673265
ADMINMED:2796962,NLM:RXNORM:89013
ADMINMED:2796964,NLM:RXNORM:18330
ADMINMED:2796966,NLM:RXNORM:3992
ADMINMED:2796966,NLM:RXNORM:592464
ADMINMED:2796976,NLM:RXNORM:1151
ADMINMED:2796976,NLM:RXNORM:236614
ADMINMED:2796976,NLM:RXNORM:3489
ADMINMED:2796976,NLM:RXNORM:5281
ADMINMED:2796979,NLM:RXNORM:1156
ADMINMED:2796980,NLM:RXNORM:1191
ADMINMED:2796990,NLM:RXNORM:1202
ADMINMED:2796992,NLM:RXNORM:38400
ADMINMED:2796993,NLM:RXNORM:83367
ADMINMED:2796994,NLM:RXNORM:60212
ADMINMED:2796995,NLM:RXNORM:2382
ADMINMED:2796995,NLM:RXNORM:60212
ADMINMED:2796997,NLM:RXNORM:1223
ADMINMED:2796998,NLM:RXNORM:1223
ADMINMED:2797000,NLM:RXNORM:1223
ADMINMED:2797000,NLM:RXNORM:153970
ADMINMED:2797000,NLM:RXNORM:8134
ADMINMED:2797000,NLM:RXNORM:9601
ADMINMED:2797002,NLM:RXNORM:1223
ADMINMED:2797002,NLM:RXNORM:3500
ADMINMED:2797009,NLM:RXNORM:1256
ADMINMED:2797011,NLM:RXNORM:18603
ADMINMED:2797013,NLM:RXNORM:18631
ADMINMED:2797014,NLM:RXNORM:1272
ADMINMED:2797015,NLM:RXNORM:1291
ADMINMED:2797016,NLM:RXNORM:1291
ADMINMED:2797017,NLM:RXNORM:1291
ADMINMED:2797019,NLM:RXNORM:1291
ADMINMED:2797019,NLM:RXNORM:5492
ADMINMED:2797019,NLM:RXNORM:7299
ADMINMED:2797019,NLM:RXNORM:8536
ADMINMED:2797021,NLM:RXNORM:1291
ADMINMED:2797021,NLM:RXNORM:7299
ADMINMED:2797021,NLM:RXNORM:8536
ADMINMED:2797022,NLM:RXNORM:1291
ADMINMED:2797022,NLM:RXNORM:7299
ADMINMED:2797022,NLM:RXNORM:8536
ADMINMED:2797025,NLM:RXNORM:1291
ADMINMED:2797025,NLM:RXNORM:8536
ADMINMED:2797026,NLM:RXNORM:1291
ADMINMED:2797026,NLM:RXNORM:8536
ADMINMED:2797027,NLM:RXNORM:1292
ADMINMED:2797028,NLM:RXNORM:18747
ADMINMED:2797030,NLM:RXNORM:10890
ADMINMED:2797030,NLM:RXNORM:2129
ADMINMED:2797030,NLM:RXNORM:33219
ADMINMED:2797033,NLM:RXNORM:1331
ADMINMED:2797034,NLM:RXNORM:196102
ADMINMED:2797035,NLM:RXNORM:221050
ADMINMED:2797035,NLM:RXNORM:76469
ADMINMED:2797036,NLM:RXNORM:115238
ADMINMED:2797037,NLM:RXNORM:1347
ADMINMED:2797038,NLM:RXNORM:1347
ADMINMED:2797043,NLM:RXNORM:7676
ADMINMED:2797043,NLM:RXNORM:89781
ADMINMED:2797044,NLM:RXNORM:18867
ADMINMED:2797049,NLM:RXNORM:18889
ADMINMED:2797049,NLM:RXNORM:25138
ADMINMED:2797053,NLM:RXNORM:1378
ADMINMED:2797053,NLM:RXNORM:1399
ADMINMED:2797053,NLM:RXNORM:1952
ADMINMED:2797053,NLM:RXNORM:32987
ADMINMED:2797053,NLM:RXNORM:39937
ADMINMED:2797053,NLM:RXNORM:4910
ADMINMED:2797053,NLM:RXNORM:508
ADMINMED:2797053,NLM:RXNORM:8091
ADMINMED:2797065,NLM:RXNORM:18993
ADMINMED:2797066,NLM:RXNORM:1418
ADMINMED:2797067,NLM:RXNORM:1418
ADMINMED:2797067,NLM:RXNORM:2582
ADMINMED:2797072,NLM:RXNORM:1424
ADMINMED:2797076,NLM:RXNORM:46967
ADMINMED:2797078,NLM:RXNORM:1512
ADMINMED:2797079,NLM:RXNORM:1514
ADMINMED:2797080,NLM:RXNORM:1514
ADMINMED:2797082,NLM:RXNORM:1520
ADMINMED:2797083,NLM:RXNORM:1520
ADMINMED:2797084,NLM:RXNORM:19257
ADMINMED:2797092,NLM:RXNORM:1596
ADMINMED:2797097,NLM:RXNORM:19478
ADMINMED:2797099,NLM:RXNORM:19484
ADMINMED:2797100,NLM:RXNORM:19484
ADMINMED:2797100,NLM:RXNORM:5487
ADMINMED:2797102,NLM:RXNORM:60819
ADMINMED:2797105,NLM:RXNORM:1622
ADMINMED:2797110,NLM:RXNORM:358258
ADMINMED:2797111,NLM:RXNORM:75207
ADMINMED:2797112,NLM:RXNORM:1712
ADMINMED:2797113,NLM:RXNORM:860178
ADMINMED:2797116,NLM:RXNORM:134615
ADMINMED:2797117,NLM:RXNORM:194881
ADMINMED:2797118,NLM:RXNORM:1760
ADMINMED:2797122,NLM:RXNORM:1767
ADMINMED:2797122,NLM:RXNORM:8896
ADMINMED:2797123,NLM:RXNORM:19831
ADMINMED:2797124,NLM:RXNORM:19831
ADMINMED:2797125,NLM:RXNORM:1808
ADMINMED:2797126,NLM:RXNORM:1815
ADMINMED:2797127,NLM:RXNORM:1815
ADMINMED:2797127,NLM:RXNORM:3992
ADMINMED:2797129,NLM:RXNORM:1819
ADMINMED:2797130,NLM:RXNORM:1819
ADMINMED:2797130,NLM:RXNORM:7242
ADMINMED:2797131,NLM:RXNORM:42347
ADMINMED:2797132,NLM:RXNORM:1827
ADMINMED:2797133,NLM:RXNORM:1828
ADMINMED:2797139,NLM:RXNORM:1841
ADMINMED:2797141,NLM:RXNORM:47579
ADMINMED:2797142,NLM:RXNORM:1886
ADMINMED:2797145,NLM:RXNORM:1886
ADMINMED:2797145,NLM:RXNORM:70589
ADMINMED:2797146,NLM:RXNORM:106212
ADMINMED:2797149,NLM:RXNORM:29365
ADMINMED:2797150,NLM:RXNORM:1311287
ADMINMED:2797150,NLM:RXNORM:36118
ADMINMED:2797151,NLM:RXNORM:1894
ADMINMED:2797152,NLM:RXNORM:214342
ADMINMED:2797155,NLM:RXNORM:1897
ADMINMED:2797158,NLM:RXNORM:1897
ADMINMED:2797158,NLM:RXNORM:6581
ADMINMED:2797161,NLM:RXNORM:1901
ADMINMED:2797162,NLM:RXNORM:47613
ADMINMED:2797163,NLM:RXNORM:25806
ADMINMED:2797165,NLM:RXNORM:1908
ADMINMED:2797171,NLM:RXNORM:11253
ADMINMED:2797171,NLM:RXNORM:1897
ADMINMED:2797171,NLM:RXNORM:1919
ADMINMED:2797171,NLM:RXNORM:2418
ADMINMED:2797171,NLM:RXNORM:47613
ADMINMED:2797171,NLM:RXNORM:47628
ADMINMED:2797174,NLM:RXNORM:1952
ADMINMED:2797174,NLM:RXNORM:6750
ADMINMED:2797176,NLM:RXNORM:214354
ADMINMED:2797178,NLM:RXNORM:214355
ADMINMED:2797180,NLM:RXNORM:194000
ADMINMED:2797182,NLM:RXNORM:10938
ADMINMED:2797182,NLM:RXNORM:1992
ADMINMED:2797183,NLM:RXNORM:1998
ADMINMED:2797186,NLM:RXNORM:2002
ADMINMED:2797187,NLM:RXNORM:47686
ADMINMED:2797188,NLM:RXNORM:47686
ADMINMED:2797197,NLM:RXNORM:2019
ADMINMED:2797197,NLM:RXNORM:6375
ADMINMED:2797203,NLM:RXNORM:262150
ADMINMED:2797204,NLM:RXNORM:40048
ADMINMED:2797206,NLM:RXNORM:2101
ADMINMED:2797207,NLM:RXNORM:2105
ADMINMED:2797210,NLM:RXNORM:20352
ADMINMED:2797215,NLM:RXNORM:140108
ADMINMED:2797219,NLM:RXNORM:2177
ADMINMED:2797220,NLM:RXNORM:2180
ADMINMED:2797221,NLM:RXNORM:25037
ADMINMED:2797223,NLM:RXNORM:20481
ADMINMED:2797224,NLM:RXNORM:2186
ADMINMED:2797226,NLM:RXNORM:2189
ADMINMED:2797227,NLM:RXNORM:20489
ADMINMED:2797228,NLM:RXNORM:19552
ADMINMED:2797229,NLM:RXNORM:2191
ADMINMED:2797232,NLM:RXNORM:2193
ADMINMED:2797233,NLM:RXNORM:2194
ADMINMED:2797234,NLM:RXNORM:140587
ADMINMED:2797238,NLM:RXNORM:2231
ADMINMED:2797240,NLM:RXNORM:20610
ADMINMED:2797244,NLM:RXNORM:44281
ADMINMED:2797247,NLM:RXNORM:2296
ADMINMED:2797247,NLM:RXNORM:272
ADMINMED:2797250,NLM:RXNORM:38574
ADMINMED:2797252,NLM:RXNORM:2348
ADMINMED:2797255,NLM:RXNORM:21232
ADMINMED:2797255,NLM:RXNORM:2356
ADMINMED:2797256,NLM:RXNORM:2358
ADMINMED:2797256,NLM:RXNORM:797541
ADMINMED:2797259,NLM:RXNORM:20859
ADMINMED:2797260,NLM:RXNORM:2393
ADMINMED:2797261,NLM:RXNORM:2396
ADMINMED:2797270,NLM:RXNORM:2400
ADMINMED:2797276,NLM:RXNORM:190521
ADMINMED:2797277,NLM:RXNORM:11413
ADMINMED:2797277,NLM:RXNORM:190521
ADMINMED:2797277,NLM:RXNORM:68244
ADMINMED:2797278,NLM:RXNORM:83929
ADMINMED:2797279,NLM:RXNORM:16681
ADMINMED:2797281,NLM:RXNORM:161
ADMINMED:2797285,NLM:RXNORM:161
ADMINMED:2797285,NLM:RXNORM:2670
ADMINMED:2797288,NLM:RXNORM:161
ADMINMED:2797288,NLM:RXNORM:5489
ADMINMED:2797289,NLM:RXNORM:161
ADMINMED:2797289,NLM:RXNORM:7804
ADMINMED:2797298,NLM:RXNORM:167
ADMINMED:2797300,NLM:RXNORM:110
ADMINMED:2797300,NLM:RXNORM:168
ADMINMED:2797301,NLM:RXNORM:168
ADMINMED:2797301,NLM:RXNORM:17609
ADMINMED:2797306,NLM:RXNORM:194
ADMINMED:2797307,NLM:RXNORM:197
ADMINMED:2797311,NLM:RXNORM:281
ADMINMED:2797312,NLM:RXNORM:281
ADMINMED:2797313,NLM:RXNORM:327361
ADMINMED:2797316,NLM:RXNORM:296
ADMINMED:2797317,NLM:RXNORM:338817
ADMINMED:2797318,NLM:RXNORM:1191
ADMINMED:2797318,NLM:RXNORM:1897
ADMINMED:2797318,NLM:RXNORM:612
ADMINMED:2797318,NLM:RXNORM:6581
ADMINMED:2797319,NLM:RXNORM:612
ADMINMED:2797319,NLM:RXNORM:6581
ADMINMED:2797319,NLM:RXNORM:9796
ADMINMED:2797320,NLM:RXNORM:430
ADMINMED:2797321,NLM:RXNORM:828529
ADMINMED:2797322,NLM:RXNORM:435
ADMINMED:2797323,NLM:RXNORM:435
ADMINMED:2797323,NLM:RXNORM:7213
ADMINMED:2797325,NLM:RXNORM:70223
ADMINMED:2797327,NLM:RXNORM:117055
ADMINMED:2797328,NLM:RXNORM:46041
ADMINMED:2797331,NLM:RXNORM:29170
ADMINMED:2797331,NLM:RXNORM:612
ADMINMED:2797336,NLM:RXNORM:519
ADMINMED:2797341,NLM:RXNORM:596
ADMINMED:2797342,NLM:RXNORM:598
ADMINMED:2797343,NLM:RXNORM:8410
ADMINMED:2797347,NLM:RXNORM:612
ADMINMED:2797351,NLM:RXNORM:17621
ADMINMED:2797351,NLM:RXNORM:214342
ADMINMED:2797352,NLM:RXNORM:620
ADMINMED:2797356,NLM:RXNORM:641
ADMINMED:2797357,NLM:RXNORM:644
ADMINMED:2797361,NLM:RXNORM:99
ADMINMED:2797365,NLM:RXNORM:689
ADMINMED:2797367,NLM:RXNORM:703
ADMINMED:2797368,NLM:RXNORM:704
ADMINMED:2797372,NLM:RXNORM:17767
ADMINMED:2797393,NLM:RXNORM:2403
ADMINMED:2797398,NLM:RXNORM:2418
ADMINMED:2797399,NLM:RXNORM:2447
ADMINMED:2797403,NLM:RXNORM:2449
ADMINMED:2797403,NLM:RXNORM:52364
ADMINMED:2797407,NLM:RXNORM:4986
ADMINMED:2797413,NLM:RXNORM:21090
ADMINMED:2797414,NLM:RXNORM:83171
ADMINMED:2797417,NLM:RXNORM:2541
ADMINMED:2797420,NLM:RXNORM:2551
ADMINMED:2797421,NLM:RXNORM:2551
ADMINMED:2797422,NLM:RXNORM:2551
ADMINMED:2797423,NLM:RXNORM:2551
ADMINMED:2797423,NLM:RXNORM:5492
ADMINMED:2797424,NLM:RXNORM:35255
ADMINMED:2797425,NLM:RXNORM:319864
ADMINMED:2797426,NLM:RXNORM:2555
ADMINMED:2797427,NLM:RXNORM:2556
ADMINMED:2797429,NLM:RXNORM:21183
ADMINMED:2797429,NLM:RXNORM:25842
ADMINMED:2797429,NLM:RXNORM:29155
ADMINMED:2797430,NLM:RXNORM:21183
ADMINMED:2797430,NLM:RXNORM:54993
ADMINMED:2797430,NLM:RXNORM:56466
ADMINMED:2797431,NLM:RXNORM:21183
ADMINMED:2797431,NLM:RXNORM:54993
ADMINMED:2797432,NLM:RXNORM:21183
ADMINMED:2797432,NLM:RXNORM:56466
ADMINMED:2797433,NLM:RXNORM:44157
ADMINMED:2797434,NLM:RXNORM:21212
ADMINMED:2797437,NLM:RXNORM:2582
ADMINMED:2797438,NLM:RXNORM:2582
ADMINMED:2797442,NLM:RXNORM:2590
ADMINMED:2797447,NLM:RXNORM:2597
ADMINMED:2797448,NLM:RXNORM:2598
ADMINMED:2797449,NLM:RXNORM:2599
ADMINMED:2797450,NLM:RXNORM:32968
ADMINMED:2797451,NLM:RXNORM:2353
ADMINMED:2797452,NLM:RXNORM:2623
ADMINMED:2797453,NLM:RXNORM:2623
ADMINMED:2797456,NLM:RXNORM:2626
ADMINMED:2797457,NLM:RXNORM:4256
ADMINMED:2797458,NLM:RXNORM:2635
