Variable / Field Name,Form Name,Section Header,Auto extraction,Manual extraction,Needs a review,Num_BCH_MIS_C_Patients (out of 49),concept_cd,concept_desc, concept_path,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
elig3,eligibility,,,,Yes  (coulmn J),,,,,radio,"3. Laboratory evidence of inflammation, including, but not limited to, one or more of the following: an elevated CRP, ESR, fibrinogen, procalcitonin, d-dimer, ferritin, LDH, or IL-6, elevated neutrophils, reduced lymphocytes and low albumin.","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig4,eligibility,,,,Yes  (coulmn J),,,,,radio,"4. Evidence of clinically severe illness requiring hospitalization, with multisystem (2 or more) organ involvement, based on clinical judgment from record review, discharge diagnosis, laboratory or diagnostic tests. Organ system involvement includes but is not limited to cardiac, renal, respiratory, hematologic including coagulopathy, gastrointestinal including liver, dermatologic or neurological.","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig5,eligibility,,,,Yes  (coulmn J),,,,,radio,"5. Positive for current or recent SARS-CoV-2 infection by RT-PCR, serology, or antigen test; or COVID-19 exposure within the 4 weeks prior to the onset of symptoms","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig6,eligibility,Exclusion Criteria,,,Yes  (coulmn J),,,,,radio,"6. No plausible alternative diagnosis, such as bacterial sepsis, murine typhus, staphylococcal or streptococcal shock syndromes.","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig,eligibility,"ALERT: Please verify all INCLUSION criteria and no EXCLUSION criteria are met by participant, and a ""1"" is displayed here for the participant to participate in the study.",,Notes,,,,,,calc,Eligible,"if ([elig1] = ""1"" and [elig2] = ""1"" and [elig3] = ""1"" and [elig4] = ""1"" and [elig5] = ""1"" and [elig6] = ""1"", 1, 0)",,,,,,,,,,,,
ic_enrollment_date,eligibility,,,,Yes ,,,,,text,Date of enrollment,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,"[elig] = ""1""",Y,,,,,
ic_not_elig,eligibility,,,,Yes,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not continue further data entry for this participant</font>","1, Acknowledged",,,,,,"[elig] <> ""1""",,LV,,,,
demo_na,demographics,,N/A,,,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[elig] <> ""1""",,LV,,,,
dob,demographics,Demographics,Yes,,,49,,,,text,Date of birth,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/1/98,1/1/25,y,,Y,,,,,
lt_1_admit,demographics,,Yes,,,7,,,,radio,Is participant less than 1 year of age on admission?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
premature,demographics,,Yes,,,2,"ICD10:P07.20
ICD10:P07.21
ICD10:P07.22
ICD10:P07.23
ICD10:P07.24
ICD10:P07.26
ICD10:P07.25
ICD10:P07.32
ICD10:P07.30
ICD10:P07.31
ICD10:P07.33
ICD10:P07.34
ICD10:P07.35
ICD10:P07.36
ICD10:P07.37
ICD10:P07.38
ICD10:P07.39","ICD10:P07.20	Extreme immaturity of newborn, unspecified weeks of gestation
ICD10:P07.21	Extreme immaturity of newborn, gestational age less than 23 completed weeks
ICD10:P07.22	Extreme immaturity of newborn, gestational age 23 completed weeks
ICD10:P07.23	Extreme immaturity of newborn, gestational age 24 completed weeks
ICD10:P07.24	Extreme immaturity of newborn, gestational age 25 completed weeks
ICD10:P07.26	Extreme immaturity of newborn, gestational age 27 completed weeks
ICD10:P07.25	Extreme immaturity of newborn, gestational age 26 completed weeks
ICD10:P07.32	Preterm newborn, gestational age 29 completed weeks
ICD10:P07.30	Preterm newborn, unspecified weeks of gestation
ICD10:P07.31	Preterm newborn, gestational age 28 completed weeks
ICD10:P07.33	Preterm newborn, gestational age 30 completed weeks
ICD10:P07.34	Preterm newborn, gestational age 31 completed weeks
ICD10:P07.35	Preterm newborn, gestational age 32 completed weeks
ICD10:P07.36	Preterm newborn, gestational age 33 completed weeks
ICD10:P07.37	Preterm newborn, gestational age 34 completed weeks
ICD10:P07.38	Preterm newborn, gestational age 35 completed weeks
ICD10:P07.39	Preterm newborn, gestational age 36 completed weeks","\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.20) Extre~uyjq\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.21) Extre~qwnq\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.22) Extre~7sf0\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.23) Extre~ueb6\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.24) Extre~jrue\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.26) Extre~2pqr\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.25) Extre~qv1j\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.32) Prete~py9n\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.30) Prete~9f04\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.31) Prete~otwh\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.33) Prete~4jn2\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.34) Prete~tztg\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.35) Prete~4p5f\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.36) Prete~inwg\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.37) Prete~mi61\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.38) Prete~0a3v\
\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.39) Prete~5a73\",radio,Born prematurely (born before 37 weeks of gestation)?,"1, Yes | 0, No | 2, Unknown",,,,,,"[lt_1_admit] = ""1""",Y,RH,,,,
wks_gest_birth,demographics,,,Notes,,,,,,text,Number of weeks of gestation at birth,,,integer,20,41,,"[premature] = ""1""",Y,,,,,
corrected_gest_age,demographics,,,,Yes (What is the meaning of this),,,,,text,Corrected gestational age at time of illness (weeks),,,integer,20,40,,"[premature] = ""1""",Y,,,,,
ethnicity,demographics,,Yes,,,49,,,,radio,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 99, Refused or Unknown",,,,,,,Y,,,,,
language,demographics,,Yes,,,49,,,,radio,Primary spoken language,"1, English | 2, Spanish | 3, Both English and Spanish | 4, Other | 99, Decline to answer",,,,,,,Y,,,,,
langauge_other,demographics,,Yes,,,0,,,,text,"If other language, please specify",,,,,,,"[language] = ""4""",Y,,,,,
white,demographics,"Race (<i>mark all fields, selecting more than one option as necessary</i>):",Yes,,,14,,,,radio,White,"1, Yes | 0, No",,,,,,,Y,RH,,,,
black,demographics,,Yes,,,7,,,,radio,Black or African American,"1, Yes | 0, No",,,,,,,Y,RH,,,,
indian,demographics,,Yes,,,0,,,,radio,American Indian,"1, Yes | 0, No",,,,,,,Y,RH,,,,
alaskan_native,demographics,,Yes,,,0,,,,radio,Alaska Native or Aboriginal Canadian,"1, Yes | 0, No",,,,,,,Y,RH,,,,
native_hawaiian,demographics,,Yes,,,0,,,,radio,Native Hawaiian,"1, Yes | 0, No",,,,,,,Y,RH,,,,
pacific_islander,demographics,,Yes,,,0,,,,radio,Other Pacific Islander,"1, Yes | 0, No",,,,,,,Y,RH,,,,
asian,demographics,,Yes,,,1,,,,radio,"Asian (Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese)","1, Yes | 0, No",,,,,,,Y,RH,,,,
race_other,demographics,,Yes,,,20,,,,radio,Other,"1, Yes | 0, No",,,,,,,Y,RH,,,,
race_other_list,demographics,,Yes,,,1,,,,text,Please list other race,,,,,,,"[race_other] = ""1""",Y,,,,,
race_refused_unknown,demographics,,Yes,,,6,,,,radio,Refused or Don't know,"1, Yes | 0, No",,,,,,,Y,RH,,,,
country,demographics,Primary Residence,Yes,,,49,,,,radio,Country of residence,"1, US | 2, Canada | 3, Other",,,,,,,Y,,,,,
country_other,demographics,,,Notes,,,,,,text,Please list other country,,,,,,,"[country] = ""3""",Y,,,,,
zipcodeus,demographics,,Yes,,,49,,,,text,"For US residents, please collect the 5-digit zip code",,,zipcode,,,y,"[country] = ""1""",Y,,,,,
postalcode_canada,demographics,,,Notes,,,,,,text,"For Canadian residents, please collect the first 3 digits of the participant's postal code",,,,,,y,"[country] = ""2""",Y,,,,,
usstate,demographics,,Yes,,,Yes,,,,dropdown,State of residence,"AL, Alabama | AK, Alaska | AZ, Arizona | AR, Arkansas | CA, California | CO, Colorado | CT, Connecticut | DC, Dist. Columbia | DE, Delaware | FL, Florida | GA, Georgia | HI, Hawaii | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming | OTH, Other",,,,,,"[country] = ""1""",Y,,,,,
canadaprovince,demographics,,,Notes,,,,,,dropdown,Province of residence,"AB, Alberta | BC, British Columbia | NW, North West Terr | SK, Saskatchewan | LB, Labrador | MB, Manitoba | ON1, Ontario | YU, Yukon | NB, New Brunswick | NF, Newfoundland | PE, Prince Edward Is | NS, Nova Scotia | NU, Nunavut | QC, Quebec | OTH, Other",,,,,,"[country] = ""2""",Y,,,,,
residence_other,demographics,,,Notes,,,,,,text,"Other, specify",,,,,,,"[usstate] = ""OTH"" or [canadaprovince] = ""OTH""",Y,,,,,
county,demographics,,Yes,,,49,,,,text,County or CMA (Census metropolitan area),,,,,,,,Y,,,,,
census,demographics,"Census Information
</b>Instructions to coordinators to obtain census data:
 
UNITED STATES: Go to the <a href=""https://geocoding.geo.census.gov/geocoder/geographies/address?form"" target=""_blank"">US census website</a>. Enter the participant's address (street, city, state, zip) and click ""Find"" to get census data.

CANADA: Go to the <a href=""https://www12.statcan.gc.ca/census-recensement/2016/dp-pd/prof/index.cfm?Lang=E"" target=""_blank"">Statistics Canada Census Profile website</a>. In the search box under postal code, enter the person's postal code and click ""submit."" You will be directed to a table that lists the Provinces/Territories, Census subdivisions, etc. and lower down on the page you will find the CMA (Census Metropolitan Area) and the census tract.",,,Yes,,,,,radio,Is census information available?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
censusdt,demographics,,,,Yes ,,,,,text,Date of Information,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,"[census] = ""1""",Y,,,,,
censustract,demographics,,,,Yes ,,,,,text,Census tract,,,number,,,y,"[census] = ""1""",Y,,,,,
censusblock,demographics,,,,Yes ,,,,,text,Census block ,,,integer,,,y,"[census] = ""1""",Y,,,,,
insurance,demographics,Insurance,,,Yes ,,,,,radio,Please choose best answer,"1, Private | 2, Self-pay | 3, U.S. Government (e.g. Medicaid) | 5, Other governmental insurance outside the US | 4, Dual coverage | 0, Unknown",,,,,,,Y,,,,,
insurance_primary,demographics,,,,Yes ,,,,,text,Please designate primary payor,,,,,,,"[insurance] = ""4""",Y,,,,,
other_studies,demographics,Other Research Studies,,Notes,,,,,,radio,Is the participant participating in other research studies?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
other_studies_list,demographics,,,Notes,,,,,,checkbox,Choose all that apply (excluding Overcoming COVID19 which is listed on the Screening form),"2, CHARMS | 3, IKDR | 4, PRISM | 5, Other",,,,,,"[other_studies] = ""1""",Y,,,,,
other_studies_other,demographics,,,Notes,,,,,,text,Please list study or studies,,,,,,,"[other_studies_list(5)] = ""1""",Y,,,,,
baseline_health_na,baseline_health_status,,,,Yes ,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[elig] <> ""1""",,LV,,,,
healthy,baseline_health_status,Instructions:  Please answer each question in numerical order unless specifically directed to skip to another question or section.,,Notes,,,,,,radio,"Was the participant on admission otherwise healthy, on no prescription medications, and without underlying medical conditions (including obesity, defined as BMI over 95 percentile for age and sex) and not dependent on any medical devices such as tracheostomy prior to initial admission to hospital for current illness?","1, Yes | 0, No",,,,,,,Y,RH,,,,
medication_hx,baseline_health_status,,,Notes,,,,,,radio,Was the participant on medications for an ongoing condition before MIS-C?,"1, Yes | 0, No",,,,,,"[healthy] = ""0""",Y,RH,,,,
num_meds,baseline_health_status,,Yes,,,49,,,,text,"Please enter the number of medications that the participant was taking for pre-existing conditions at the time of hospitalization.<br>Additionally, please complete the Medications Before or After Hosp form for each medication.",,The Medications Before and After Hosp form is located with the Repeating Forms.,integer,1,,,"[medication_hx] = ""1""",Y,,,,,
home_o2_vent,baseline_health_status,Ventilation or Supplemental Oxygen,Yes,,,9,,,,radio,Does the participant have a tracheostomy or require oxygen or invasive or noninvasive mechanical ventilator support for underlying medical conditions?,"1, Yes | 0, No",,,,,,"[healthy] = ""0""",Y,RH,,,,
oxygen,baseline_health_status,,Yes,,,0,,,,radio,Oxygen,"1, Yes | 0, No",,,,,,"[home_o2_vent] = ""1""",Y,RH,,,,
trach,baseline_health_status,,Yes,,,2,,,,radio,Tracheostomy Tube,"1, Yes | 0, No",,,,,,"[home_o2_vent] = ""1""",Y,RH,,,,
mech_vent_baseline,baseline_health_status,,Yes,,,8,,,,radio,"Mechanical Ventilator Support (if Yes, describe below)","1, Yes | 0, No",,,,,,"[home_o2_vent] = ""1""",Y,RH,,,,
mech_vent_base_reason,baseline_health_status,,,Notes,,,,,,text,Please describe reason: ,,,,,,,"[mech_vent_baseline] = ""1""",Y,,,,,
med_condition,baseline_health_status,Underlying Medical Conditions,,Notes,,,,,,radio,Does the participant have one or more underlying medical conditions?,"1, Yes | 0, No",,,,,,"[healthy] = ""0""",Y,RH,,,,
resp_hx,baseline_health_status,"Respiratory System Disorders, including:

- Asthma
- Chronic lung disease (non-asthma)
- Chronic restrictive lung disease
- Tracheomalacia / Bronchomalacia
- Bronchopulmonary dysplasia
- Cystic fibrosis
- Obstructive sleep apnea
- Recurrent aspiration into lungs
- Pulmonary hypertension
- Other",,Notes,,,,,,radio,Does the participant have an underlying RESPIRATORY SYSTEM disorder?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
asthma,baseline_health_status,,,,How long should we look back? 24 months? ,,,,,radio,Asthma,"1, Yes | 0, No",,,,,,"[resp_hx] = ""1""",Y,RH,,,,
chronic_lung_disease,baseline_health_status,,,,,,,,,radio,Chronic lung disease (non-asthma),"1, Yes | 0, No",,,,,,"[resp_hx]=""1""",Y,RH,,,,
crld,baseline_health_status,,,,,,,,,radio,Chronic restrictive lung disease,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
tracheo_broncho_malacia,baseline_health_status,,,,,,,,,radio,Tracheomalacia / Bronchomalacia,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
bpd,baseline_health_status,,,,,,,,,radio,Bronchopulmonary dysplasia,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
cystic_fibrosis,baseline_health_status,,,,,,,,,radio,Cystic fibrosis,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
obstructive_sleep_apnea,baseline_health_status,,,,,,,,,radio,Obstructive sleep apnea,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
recurrent_aspiration,baseline_health_status,,,,,,,,,radio,Recurrent aspiration into lungs,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
pulmonary_hypertension,baseline_health_status,,,,,,,,,radio,Pulmonary hypertension,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
resp_hx_other,baseline_health_status,,,,,,,,,radio,Other,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
resp_hx_other_list,baseline_health_status,,,Notes,,,,,,text,Describe:,,,,,,,"[resp_hx_other] =""1""",Y,,,,,
cardiac_hx,baseline_health_status,"Cardiovascular System Disorders, including:

- Congenital heart disease
- Acquired heart disease
- Cardiac repair (surgery or interventional catheterization)
- Systemic hypertension
- Cardiac lesion
- Other",,"Notes (or cosidering all codes related to Cardiovascular System Disorders to do it automatically, it will apply for all the following disorders: Neurologic or Neuromuscular Disorders,  Active or Prior Oncologic Disorders, Hematologic Disorder
Non-oncologic Immunosuppressive Disorders
Rheumatologic/Autoimmune Disorders
 Renal or Urologic Dysfunction
GI and Hepatic Dysfunction
Endocrine Disorder
Metabolic or Confirmed or Suspected Genetic Disorder, etc.)",,,,,,radio,Does the participant have a disorder of the CARDIOVASCULAR SYSTEM?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
congenital_heart_dx,baseline_health_status,,,,,,,,,radio,Congenital heart disease,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
