Variable...Field.Name,Form.Name,Auto.extraction,concept_cd,expected value,expected value description,Notes,concept_desc,concept_path,Checked.by.Simran,Checked.by.Alba
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797994,03.25,"Imipenem, Trade name: Primaxin, Antibiotics",,zzzimipenem,\i2b2\Medications\Administered Medications\1\8\d04401\ADMINMED:2797994\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:16727471,03.25,"Imipenem, Trade name: Primaxin, Antibiotics",,imipenem DESENSITIZATION,\i2b2\Medications\Administered Medications\Non-Categorized\16727471\ADMINMED:16727471\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798206,03.26,"Meropenem, Trade name: Merrem, Antibiotics",,meropenem,\i2b2\Medications\Administered Medications\1\8\d04027\ADMINMED:2798206\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:17348969,03.26,"Meropenem, Trade name: Merrem, Antibiotics",,meropenem Antibiotic Lock,\i2b2\Medications\Administered Medications\Non-Categorized\17348969\ADMINMED:17348969\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:16727472,03.26,"Meropenem, Trade name: Merrem, Antibiotics",,meropenem DESENSITIZATION,\i2b2\Medications\Administered Medications\Non-Categorized\16727472\ADMINMED:16727472\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15611504,03.26,"Meropenem, Trade name: Merrem, Antibiotics",,meropenem inhalation,\i2b2\Medications\Administered Medications\Non-Categorized\15611504\ADMINMED:15611504\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798248,03.27,"Metronidazole, Trade name: Flagyl, Antibiotics",,metroNIDAZOLE,\i2b2\Medications\Administered Medications\1\2\d00108\ADMINMED:2798248\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798249,03.27,"Metronidazole, Trade name: Flagyl, Antibiotics",,metroNIDAZOLE topical,\i2b2\Medications\Administered Medications\133\136\461\d03208\ADMINMED:2798249\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798359,03.28,"Mycostatin (Nystatin), Trade name: Nystatin, Antibiotics",,nystatin,\i2b2\Medications\Administered Medications\133\146\d01233\ADMINMED:2798359\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798360,03.28,"Mycostatin (Nystatin), Trade name: Nystatin, Antibiotics",,nystatin topical,\i2b2\Medications\Administered Medications\133\136\292\d04399\ADMINMED:2798360\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798323,03.29,"Neomycin, Antibiotics",,neomycin,\i2b2\Medications\Administered Medications\1\18\d00312\ADMINMED:2798323\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798325,03.29,"Neomycin, Antibiotics",,neomycin topical,\i2b2\Medications\Administered Medications\133\136\290\d03224\ADMINMED:2798325\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798324,03.29,"Neomycin, Antibiotics",,neomycin ophthalmic,\i2b2\Medications\Administered Medications\133\147\163\d04133\ADMINMED:2798324\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15611543,03.29,"Neomycin, Antibiotics",,neomycin enema,\i2b2\Medications\Administered Medications\Non-Categorized\15611543\ADMINMED:15611543\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798359,03.30,"Nystatin (Mycostatin), Trade name: Mycostatin, Antibiotics",,nystatin,\i2b2\Medications\Administered Medications\133\146\d01233\ADMINMED:2798359\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798360,03.30,"Nystatin (Mycostatin), Trade name: Mycostatin, Antibiotics",,nystatin topical,\i2b2\Medications\Administered Medications\133\136\292\d04399\ADMINMED:2798360\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798382,03.31,"Oxacillin, Antibiotics",,oxacillin,\i2b2\Medications\Administered Medications\1\13\222\d00115\ADMINMED:2798382\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:164477694,03.32,"Penicillin, Antibiotics",,procaine penicillin,\i2b2\Medications\Administered Medications\1\13\226\d07390\ADMINMED:164477694\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:288807591,03.32,"Penicillin, Antibiotics",,penicillin G sodium,\i2b2\Medications\Administered Medications\1\13\226\d07728\ADMINMED:288807591\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:288807674,03.32,"Penicillin, Antibiotics",,penicillin G benzathine,\i2b2\Medications\Administered Medications\1\13\226\d07727\ADMINMED:288807674\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:288807693,03.32,"Penicillin, Antibiotics",,penicillin G potassium,\i2b2\Medications\Administered Medications\1\13\226\d07729\ADMINMED:288807693\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798429,03.32,"Penicillin, Antibiotics",,zzzpenicillin (obsolete),\i2b2\Medications\Administered Medications\1\13\226\d00116\ADMINMED:2798429\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:164477658,03.32,"Penicillin, Antibiotics",,benzathine penicillin-procaine penicillin,\i2b2\Medications\Administered Medications\1\13\226\d07389\ADMINMED:164477658\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:288807609,03.32,"Penicillin, Antibiotics",,penicillin V potassium,\i2b2\Medications\Administered Medications\1\13\226\d07730\ADMINMED:288807609\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798486,03.33,"Piperacillin, Trade name: Pipracil, Antibiotics",,piperacillin,\i2b2\Medications\Administered Medications\1\13\223\d00057\ADMINMED:2798486\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798487,03.34,"Piperacillin/Tazobactam, Trade name: Zosyn, Antibiotics",,piperacillin-tazobactam,\i2b2\Medications\Administered Medications\1\13\225\d03165\ADMINMED:2798487\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798802,03.35,"Tobramycin, Trade name: Tobrex, Antibiotics",,tobramycin,\i2b2\Medications\Administered Medications\1\18\d00069\ADMINMED:2798802\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15612647,03.35,"Tobramycin, Trade name: Tobrex, Antibiotics",,tobramycin (PRESERVATIVE FREE),\i2b2\Medications\Administered Medications\Non-Categorized\15612647\ADMINMED:15612647\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15612657,03.35,"Tobramycin, Trade name: Tobrex, Antibiotics",,tobramycin inhalation,\i2b2\Medications\Administered Medications\Non-Categorized\15612657\ADMINMED:15612657\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15612660,03.35,"Tobramycin, Trade name: Tobrex, Antibiotics",,tobramycin intrathecal,\i2b2\Medications\Administered Medications\Non-Categorized\15612660\ADMINMED:15612660\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:18467970,03.35,"Tobramycin, Trade name: Tobrex, Antibiotics",,tobramycin PF nasal irrigation,\i2b2\Medications\Administered Medications\Non-Categorized\18467970\ADMINMED:18467970\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798803,03.35,"Tobramycin, Trade name: Tobrex, Antibiotics",,tobramycin ophthalmic,\i2b2\Medications\Administered Medications\133\147\163\d03222\ADMINMED:2798803\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798732,03.36,"Trimethoprim-Sulfamethoxazole, Trade names: Bactrim, Septra, Antibiotics",,sulfamethoxazole-trimethoprim,\i2b2\Medications\Administered Medications\1\15\d00124\ADMINMED:2798732\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798880,03.37,"Vancomycin, Antibiotics",,vancomycin,\i2b2\Medications\Administered Medications\1\406\d00125\ADMINMED:2798880\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15612687,03.37,"Vancomycin, Antibiotics",,vancomycin intrathecal,\i2b2\Medications\Administered Medications\Non-Categorized\15612687\ADMINMED:15612687\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:17348970,03.37,"Vancomycin, Antibiotics",,vancomycin Antibiotic Lock,\i2b2\Medications\Administered Medications\Non-Categorized\17348970\ADMINMED:17348970\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:32168756,03.37,"Vancomycin, Antibiotics",,vancomycin ophthalmic,\i2b2\Medications\Administered Medications\Non-Categorized\32168756\ADMINMED:32168756\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:418560747,03.99,"Other antibiotics, Antibiotics",,amoxicillin/clarithromycin/omeprazole,\i2b2\Medications\Administered Medications\87\354\d05399\ADMINMED:418560747\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796898,03.99,"Other antibiotics, Antibiotics",,amoxicillin/clarithromycin/lansoprazole,\i2b2\Medications\Administered Medications\87\354\d04272\ADMINMED:2796898\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:689417221,03.99,"Other antibiotics, Antibiotics",,avibactam-cefTAZidime,\i2b2\Medications\Administered Medications\1\9\492\d08358\ADMINMED:689417221\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:4103207,03.99,"Other antibiotics, Antibiotics",,ciprofloxacin-dexamethasone otic,\i2b2\Medications\Administered Medications\133\148\171\d04890\ADMINMED:4103207\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797423,03.99,"Other antibiotics, Antibiotics",,ciprofloxacin-hydrocortisone otic,\i2b2\Medications\Administered Medications\133\148\171\d04288\ADMINMED:2797423\,,
