keyword	ECRF_CODE	concept_cd
methylprednisolone	18.09	METHYLPREDNISOLONE 8 MG ORAL TABS
methylprednisolone	18.09	METHYLPREDNISOLONE 2 MG ORAL TABS
methylprednisolone	18.09	METHYLPREDNISOLONE SODIUM SUCCINATE INJ 62.5 MG ML
metoclopramide	16.03	METOCLOPRAMIDE HCL 5 MG ML IJ SOLN
metoclopramide	16.03	METOCLOPRAMIDE HCL INJECTION 2.5 MG ML
metoprolol	8.14	METOPROLOL SUCCINATE ER 25 MG ORAL TB24
metoprolol	8.14	METOPROLOL SUCCINATE ER 50 MG ORAL TB24
metronidazole	3.27	METRONIDAZOLE IN NACL 5 0.79 MG ML % INTRAVENOUS SOLN
midazolam	22.15	MIDAZOLAM INJ 1 MG ML (CODE TRAUMA)
midazolam	22.15	MIDAZOLAM INJ 1 MG ML BOLUS FROM CONT IV INF
midazolam	22.15	MIDAZOLAM INJECTION 1 MG ML
midazolam	22.15	MIDAZOLAM IV CONT INFUSION 1 MG ML IN NS
midazolam	22.15	MIDAZOLAM INJECTION 1 MG ML (ANESTHESIA)
midazolam	22.15	MIDAZOLAM CONT IV INFUSION 1 MG ML
midazolam	22.15	MIDAZOLAM HCL 2 MG ML ORAL SYRP
midazolam	22.15	MIDAZOLAM CONT IV INF 1 MG ML
milrinone	19.07	MILRINONE CONT IV INFUSION 0.8 MG ML (CONCENTRATED)
milrinone	19.07	MILRINONE IN DEXTROSE 200 MCG ML IV SOLN
montelukast	25.04	MONTELUKAST SODIUM 5 MG ORAL CHEW
montelukast	25.04	MONTELUKAST SODIUM 10 MG ORAL TABS
morphine	22.16	MORPHINE IV CONT INFUSION 1 MG ML
morphine	22.16	MORPHINE IV CONT INFUSION
morphine	22.16	MORPHINE INJ 2 MG ML (ANESTHESIA)
morphine	22.16	MORPHINE INJ 5 MG ML BOLUS FROM CONT IV INF
morphine	22.16	MORPHINE SULFATE 10 MG 5ML ORAL SOLN
morphine	22.16	MORPHINE INJ 2 MG ML
morphine	22.16	MORPHINE IV CONT INFUSION 5 MG ML
nicardipine	11.05	NICARDIPINE CONT IV INFUSION 0.5 MG ML (CONCENTRATED)
nicardipine	11.05	NICARDIPINE CONT IV INFUSION
nitric	6.15	NITRIC OXIDE INHALATION GAS
nitroglycerin	6.16	NITROGLYCERIN INJECTION 400 MCG ML (ANESTHESIA)
nitroprusside	6.17	NITROPRUSSIDE CONT IV INFUSION 0.4 MG ML
nitroprusside	6.17	NITROPRUSSIDE CONT IV INFUSION 0.8 MG ML
norepinephrine	19.08	NOREPINEPHRINE CONT IV INFUSION
norepinephrine	19.08	NOREPINEPHRINE CONT IV INFUSION 16 MCG ML
norepinephrine	19.08	NOREPINEPHRINE CONT IV INFUSION 0.1 MG ML
ondansetron	5.01	ONDANSETRON HCL 4 MG 5ML ORAL SOLN
ondansetron	5.01	ONDANSETRON INJECTION 2 MG ML (ANESTHESIA)
ondansetron	5.01	ONDANSETRON 4 MG ORAL TBDP
ondansetron	5.01	ONDANSETRON HCL 2 MG ML IV SOLN
ondansetron	16.05	ONDANSETRON HCL 4 MG 5ML ORAL SOLN
ondansetron	16.05	ONDANSETRON INJECTION 2 MG ML (ANESTHESIA)
ondansetron	16.05	ONDANSETRON 4 MG ORAL TBDP
ondansetron	16.05	ONDANSETRON HCL 2 MG ML IV SOLN
penicillin	3.32	PENICILLIN G BENZATHINE 1200000 UNIT 2ML IM SUSP
phenylephrine	19.09	PHENYLEPHRINE CONT IV INFUSION 1 MG ML
phenylephrine	19.09	PHENYLEPHRINE INJECTION 10 MCG ML (ANESTHESIA)
phenylephrine	19.09	PHENYLEPHRINE INJECTION 10 MG ML (ANESTHESIA)
piperacillin	3.34	PIPERACILLIN TAZOBACTAM INJ 60 MG ML
piperacillin	3.34	PIPERACILLIN TAZOBACTAM INJECTION 3 GM 0.375 GM (ANESTHESIA)
piperacillin	3.33	PIPERACILLIN TAZOBACTAM INJ 60 MG ML
piperacillin	3.33	PIPERACILLIN TAZOBACTAM INJECTION 3 GM 0.375 GM (ANESTHESIA)
potassium	15.04	POTASSIUM CHLORIDE 40 MEQ 15ML (20%) ORAL SOLN
potassium	15.04	POTASSIUM CHLORIDE 20 MEQ ORAL PACK
potassium	15.04	POTASSIUM PHOSPHATE DIBASIC INJECTION 0.07 MMOL ML
potassium	15.04	POTASSIUM & SODIUM PHOSPHATES 280 160 250 MG ORAL PACK
potassium	15.04	POTASSIUM CHLORIDE INJECTION 0.06 MEQ ML
potassium	15.04	POTASSIUM PHOSPHATE INJ FOR PO USE 3 MMOL ML
potassium	15.04	POTASSIUM CHLORIDE INJECTION 0.3 MEQ ML
potassium	15.04	POTASSIUM PHOSPHATE DIBASIC INJECTION 0.06 MMOL ML
potassium	15.04	POTASSIUM CHLORIDE INJECTION 0.4 MEQ ML
potassium	15.04	POTASSIUM PHOSPHATE DIBASIC INJECTION 0.04 MMOL ML
potassium	15.04	POTASSIUM CHLORIDE ER 10 MEQ ORAL CPCR
potassium	15.04	POTASSIUM PHOSPHATE DIBASIC INJECTION 0.3 MMOL ML
potassium	15.04	POTASSIUM CHLORIDE INJ FOR PO USE 2 MEQ ML
potassium	15.04	POTASSIUM CHLORIDE INJECTION 0.08 MEQ ML
prednisone	18.1	PREDNISONE 5 MG 5ML ORAL SOLN
prednisone	18.1	PREDNISONE 20 MG ORAL TABS
prednisone	18.1	PREDNISONE 10 MG ORAL TABS
prednisone	18.1	PREDNISONE 50 MG ORAL TABS
remdesivir	27.01	REMDESIVIR IN SODIUM CHLORIDE 0.9% (NS) IV INFUSION 2 MG ML
remdesivir	27.01	REMDESIVIR IN SODIUM CHLORIDE 0.9% (NS) IV INFUSION 1 MG ML
remdesivir	27.01	REMDESIVIR STUDY H47889 INJ 1.25 MG ML MIXTURE
remdesivir	27.01	REMDESIVIR IN SODIUM CHLORIDE 0.9% (NS) IV INFUSION
simethicone	16.07	SIMETHICONE 40 MG 0.6ML ORAL SUSP
simethicone	16.07	SIMETHICONE PO SUSP 20 MG 0.3 ML UD
sodium	15.05	SODIUM CHLORIDE (BACTERIOSTATIC) 0.9% (NS) INJ (OP TIME)
sodium	15.05	SODIUM PHOSPHATE INJECTION 0.12 MMOLE ML
sodium	15.05	SODIUM BICARBONATE 8.4 % INTRAVENOUS SOLN
sodium	15.05	SODIUM CHLORIDE 0.45 % + ADDITIVES INJ
sodium	15.05	SODIUM BICARBONATE 8.4 % IV SOLN
sodium	15.05	SODIUM CHLORIDE 0.9 % INJECTION SOLN
sodium	15.05	SODIUM CHLORIDE 0.9% INJ FLUSH
sodium	15.05	SODIUM CHLORIDE 0.45 % INTRAVENOUS SOLN
sodium	15.05	SODIUM CHLORIDE 0.9% CARRIER INTRAVENOUS INFUSION
sodium	15.05	SODIUM BICARBONATE 4.2 % IV SOLN
sodium	15.05	SODIUM CHLORIDE 0.9 % + ADDITIVES INJ
sodium	15.05	SODIUM CHLORIDE 0.9% (NS) PRIME BAG
sodium	15.05	SODIUM CHLORIDE 0.9% (NS) INJ (OP TIME)
sodium	15.05	SODIUM CHLORIDE 0.9 % INFUSION (ANESTHESIA)
sodium	15.05	SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLN
sodium	15.05	SODIUM PHOSPHATE INJECTION 0.05 MMOLE ML
sodium	15.05	SODIUM CHLORIDE 0.9 % INHALATION NEBU
sodium	15.05	SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLN (BOLUS)
spironolactone	14.13	SPIRONOLACTONE 25 MG 5ML ORAL SUSP
sucralfate	16.08	SUCRALFATE 1 G ORAL TABS
sucralfate	16.08	SUCRALFATE PO SUSP 1000 MG 10 ML UD
vancomycin	3.37	VANCOMYCIN INJ 5 MG ML
