Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
elig4,eligibility,,radio,"4. Evidence of clinically severe illness requiring hospitalization, with multisystem (2 or more) organ involvement, based on clinical judgment from record review, discharge diagnosis, laboratory or diagnostic tests. Organ system involvement includes but is not limited to cardiac, renal, respiratory, hematologic including coagulopathy, gastrointestinal including liver, dermatologic or neurological.","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig5,eligibility,,radio,"5. Positive for current or recent SARS-CoV-2 infection by RT-PCR, serology, or antigen test; or COVID-19 exposure within the 4 weeks prior to the onset of symptoms","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig6,eligibility,Exclusion Criteria,radio,"6. No plausible alternative diagnosis, such as bacterial sepsis, murine typhus, staphylococcal or streptococcal shock syndromes.","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig,eligibility,"ALERT: Please verify all INCLUSION criteria and no EXCLUSION criteria are met by participant, and a ""1"" is displayed here for the participant to participate in the study.",calc,Eligible,"if ([elig1] = ""1"" and [elig2] = ""1"" and [elig3] = ""1"" and [elig4] = ""1"" and [elig5] = ""1"" and [elig6] = ""1"", 1, 0)",,,,,,,,,,,,
ic_enrollment_date,eligibility,,text,Date of enrollment,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,"[elig] = ""1""",Y,,,,,
ic_not_elig,eligibility,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not continue further data entry for this participant</font>","1, Acknowledged",,,,,,"[elig] <> ""1""",,LV,,,,
demo_na,demographics,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[elig] <> ""1""",,LV,,,,
dob,demographics,Demographics,text,Date of birth,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/1/98,1/1/25,y,,Y,,,,,
lt_1_admit,demographics,,radio,Is participant less than 1 year of age on admission?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
premature,demographics,,radio,Born prematurely (born before 37 weeks of gestation)?,"1, Yes | 0, No | 2, Unknown",,,,,,"[lt_1_admit] = ""1""",Y,RH,,,,
wks_gest_birth,demographics,,text,Number of weeks of gestation at birth,,,integer,20,41,,"[premature] = ""1""",Y,,,,,
corrected_gest_age,demographics,,text,Corrected gestational age at time of illness (weeks),,,integer,20,40,,"[premature] = ""1""",Y,,,,,
ethnicity,demographics,,radio,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 99, Refused or Unknown",,,,,,,Y,,,,,
language,demographics,,radio,Primary spoken language,"1, English | 2, Spanish | 3, Both English and Spanish | 4, Other | 99, Decline to answer",,,,,,,Y,,,,,
langauge_other,demographics,,text,"If other language, please specify",,,,,,,"[language] = ""4""",Y,,,,,
white,demographics,"Race (<i>mark all fields, selecting more than one option as necessary</i>):",radio,White,"1, Yes | 0, No",,,,,,,Y,RH,,,,
black,demographics,,radio,Black or African American,"1, Yes | 0, No",,,,,,,Y,RH,,,,
indian,demographics,,radio,American Indian,"1, Yes | 0, No",,,,,,,Y,RH,,,,
alaskan_native,demographics,,radio,Alaska Native or Aboriginal Canadian,"1, Yes | 0, No",,,,,,,Y,RH,,,,
native_hawaiian,demographics,,radio,Native Hawaiian,"1, Yes | 0, No",,,,,,,Y,RH,,,,
pacific_islander,demographics,,radio,Other Pacific Islander,"1, Yes | 0, No",,,,,,,Y,RH,,,,
asian,demographics,,radio,"Asian (Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese)","1, Yes | 0, No",,,,,,,Y,RH,,,,
race_other,demographics,,radio,Other,"1, Yes | 0, No",,,,,,,Y,RH,,,,
race_other_list,demographics,,text,Please list other race,,,,,,,"[race_other] = ""1""",Y,,,,,
race_refused_unknown,demographics,,radio,Refused or Don't know,"1, Yes | 0, No",,,,,,,Y,RH,,,,
country,demographics,Primary Residence,radio,Country of residence,"1, US | 2, Canada | 3, Other",,,,,,,Y,,,,,
country_other,demographics,,text,Please list other country,,,,,,,"[country] = ""3""",Y,,,,,
zipcodeus,demographics,,text,"For US residents, please collect the 5-digit zip code",,,zipcode,,,y,"[country] = ""1""",Y,,,,,
postalcode_canada,demographics,,text,"For Canadian residents, please collect the first 3 digits of the participant's postal code",,,,,,y,"[country] = ""2""",Y,,,,,
usstate,demographics,,dropdown,State of residence,"AL, Alabama | AK, Alaska | AZ, Arizona | AR, Arkansas | CA, California | CO, Colorado | CT, Connecticut | DC, Dist. Columbia | DE, Delaware | FL, Florida | GA, Georgia | HI, Hawaii | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming | OTH, Other",,,,,,"[country] = ""1""",Y,,,,,
canadaprovince,demographics,,dropdown,Province of residence,"AB, Alberta | BC, British Columbia | NW, North West Terr | SK, Saskatchewan | LB, Labrador | MB, Manitoba | ON1, Ontario | YU, Yukon | NB, New Brunswick | NF, Newfoundland | PE, Prince Edward Is | NS, Nova Scotia | NU, Nunavut | QC, Quebec | OTH, Other",,,,,,"[country] = ""2""",Y,,,,,
residence_other,demographics,,text,"Other, specify",,,,,,,"[usstate] = ""OTH"" or [canadaprovince] = ""OTH""",Y,,,,,
county,demographics,,text,County or CMA (Census metropolitan area),,,,,,,,Y,,,,,
census,demographics,"Census Information
</b>Instructions to coordinators to obtain census data:
 
UNITED STATES: Go to the <a href=""https://geocoding.geo.census.gov/geocoder/geographies/address?form"" target=""_blank"">US census website</a>. Enter the participant's address (street, city, state, zip) and click ""Find"" to get census data.

CANADA: Go to the <a href=""https://www12.statcan.gc.ca/census-recensement/2016/dp-pd/prof/index.cfm?Lang=E"" target=""_blank"">Statistics Canada Census Profile website</a>. In the search box under postal code, enter the person's postal code and click ""submit."" You will be directed to a table that lists the Provinces/Territories, Census subdivisions, etc. and lower down on the page you will find the CMA (Census Metropolitan Area) and the census tract.",radio,Is census information available?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
censusdt,demographics,,text,Date of Information,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,"[census] = ""1""",Y,,,,,
censustract,demographics,,text,Census tract,,,number,,,y,"[census] = ""1""",Y,,,,,
censusblock,demographics,,text,Census block ,,,integer,,,y,"[census] = ""1""",Y,,,,,
insurance,demographics,Insurance,radio,Please choose best answer,"1, Private | 2, Self-pay | 3, U.S. Government (e.g. Medicaid) | 5, Other governmental insurance outside the US | 4, Dual coverage | 0, Unknown",,,,,,,Y,,,,,
insurance_primary,demographics,,text,Please designate primary payor,,,,,,,"[insurance] = ""4""",Y,,,,,
other_studies,demographics,Other Research Studies,radio,Is the participant participating in other research studies?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
other_studies_list,demographics,,checkbox,Choose all that apply (excluding Overcoming COVID19 which is listed on the Screening form),"2, CHARMS | 3, IKDR | 4, PRISM | 5, Other",,,,,,"[other_studies] = ""1""",Y,,,,,
other_studies_other,demographics,,text,Please list study or studies,,,,,,,"[other_studies_list(5)] = ""1""",Y,,,,,
baseline_health_na,baseline_health_status,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[elig] <> ""1""",,LV,,,,
healthy,baseline_health_status,Instructions:  Please answer each question in numerical order unless specifically directed to skip to another question or section.,radio,"Was the participant on admission otherwise healthy, on no prescription medications, and without underlying medical conditions (including obesity, defined as BMI over 95 percentile for age and sex) and not dependent on any medical devices such as tracheostomy prior to initial admission to hospital for current illness?","1, Yes | 0, No",,,,,,,Y,RH,,,,
medication_hx,baseline_health_status,,radio,Was the participant on medications for an ongoing condition before MIS-C?,"1, Yes | 0, No",,,,,,"[healthy] = ""0""",Y,RH,,,,
num_meds,baseline_health_status,,text,"Please enter the number of medications that the participant was taking for pre-existing conditions at the time of hospitalization.<br>Additionally, please complete the Medications Before or After Hosp form for each medication.",,The Medications Before and After Hosp form is located with the Repeating Forms.,integer,1,,,"[medication_hx] = ""1""",Y,,,,,
home_o2_vent,baseline_health_status,Ventilation or Supplemental Oxygen,radio,Does the participant have a tracheostomy or require oxygen or invasive or noninvasive mechanical ventilator support for underlying medical conditions?,"1, Yes | 0, No",,,,,,"[healthy] = ""0""",Y,RH,,,,
oxygen,baseline_health_status,,radio,Oxygen,"1, Yes | 0, No",,,,,,"[home_o2_vent] = ""1""",Y,RH,,,,
trach,baseline_health_status,,radio,Tracheostomy Tube,"1, Yes | 0, No",,,,,,"[home_o2_vent] = ""1""",Y,RH,,,,
mech_vent_baseline,baseline_health_status,,radio,"Mechanical Ventilator Support (if yes, describe below)","1, Yes | 0, No",,,,,,"[home_o2_vent] = ""1""",Y,RH,,,,
mech_vent_base_reason,baseline_health_status,,text,Please describe reason: ,,,,,,,"[mech_vent_baseline] = ""1""",Y,,,,,
med_condition,baseline_health_status,Underlying Medical Conditions,radio,Does the participant have one or more underlying medical conditions?,"1, Yes | 0, No",,,,,,"[healthy] = ""0""",Y,RH,,,,
resp_hx,baseline_health_status,"Respiratory System Disorders, including:

- Asthma
- Chronic lung disease (non-asthma)
- Chronic restrictive lung disease
- Tracheomalacia / Bronchomalacia
- Bronchopulmonary dysplasia
- Cystic fibrosis
- Obstructive sleep apnea
- Recurrent aspiration into lungs
- Pulmonary hypertension
- Other",radio,Does the participant have an underlying RESPIRATORY SYSTEM disorder?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
asthma,baseline_health_status,,radio,Asthma,"1, Yes | 0, No",,,,,,"[resp_hx] = ""1""",Y,RH,,,,
chronic_lung_disease,baseline_health_status,,radio,Chronic lung disease (non-asthma),"1, Yes | 0, No",,,,,,"[resp_hx]=""1""",Y,RH,,,,
crld,baseline_health_status,,radio,Chronic restrictive lung disease,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
tracheo_broncho_malacia,baseline_health_status,,radio,Tracheomalacia / Bronchomalacia,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
bpd,baseline_health_status,,radio,Bronchopulmonary dysplasia,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
cystic_fibrosis,baseline_health_status,,radio,Cystic fibrosis,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
obstructive_sleep_apnea,baseline_health_status,,radio,Obstructive sleep apnea,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
recurrent_aspiration,baseline_health_status,,radio,Recurrent aspiration into lungs,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
pulmonary_hypertension,baseline_health_status,,radio,Pulmonary hypertension,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
resp_hx_other,baseline_health_status,,radio,Other,"1, Yes | 0, No",,,,,,"[chronic_lung_disease]=""1""",Y,RH,,,,
resp_hx_other_list,baseline_health_status,,text,Describe:,,,,,,,"[resp_hx_other] =""1""",Y,,,,,
cardiac_hx,baseline_health_status,"Cardiovascular System Disorders, including:

- Congenital heart disease
- Acquired heart disease
- Cardiac repair (surgery or interventional catheterization)
- Systemic hypertension
- Cardiac lesion
- Other",radio,Does the participant have a disorder of the CARDIOVASCULAR SYSTEM?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
congenital_heart_dx,baseline_health_status,,radio,Congenital heart disease,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
chd_describe,baseline_health_status,,checkbox,"If yes, choose categories of CHD that apply to the participant","1, Single ventricle | 2, Hypoplastic left heart syndrome | 3, Tricuspid atresia | 4, Double outlet right ventricle | 5, D-transposition of the great arteries | 6, l-transposition of the great arteries | 7, Total anomalous pulmonary venous return | 8, Pulmonary atresia   | 9, Tetralogy of Fallot | 10, Tetralogy of Fallot with pulmonary atresia | 11, Atrioventricular canal | 12, Coarctation of the aorta | 13, Interrupted aortic arch | 14, Ventricular septal defect | 15, Aortic valve abnormality | 16, Mitral valve abnormality | 17, Pulmonary valve abnormality | 18, Tricuspid valve abnormality | 19, Myocardial abnormality | 20, Pericardial abnormality | 21, Atrial septal defect | 22, Patent ductus arteriosus | 23, Fistulas | 24, Aneurysms | 25, Aortic and branching abnormalities | 26, Systemic venous anomaly | 27, Congenital anomalies of coronary artery origins",,,,,,"[congenital_heart_dx] = ""1""",Y,,,,,
acquired_heart_dx,baseline_health_status,,radio,"Acquired heart disease (e.g., rheumatic heart disease, coronary artery dilatation from Kawasaki disease, myocarditis)","1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
acquired_heart_dx_list,baseline_health_status,,text,Describe:,,,,,,,"[acquired_heart_dx] = ""1""",Y,,,,,
cardiac_surgery,baseline_health_status,,radio,Has the participant undergone cardiac repair (surgery or interventional catheterization) in the past?,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
hypertension,baseline_health_status,,radio,Systemic hypertension,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
cardiac_lesion,baseline_health_status,,radio,Does the participant have a cardiac lesion that might present high risk if exposed to SARS-CoV-2? ,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
cardiac_lesion_list,baseline_health_status,,checkbox,Choose all that apply,"1, Early post-operative cardiac participants on mechanical ventilator therapy more 3-4 days | 2, COVID-19-associated myocarditis | 3, S/P Cardiac transplant | 4, Dilated cardiomyopathy >mild (LV EF ≤45%)  | 5, Congestive heart failure for any reason based upon symptoms and signs. | 6, Single ventricle heart disease at any stage (circle whether last stage was Stage 1, Stage 2, or Fontan) | 7, Unrepaired cyanotic heart disease of at least moderate severity, e.g., saturations <85 at rest, or Hgb >4 SD above age-adjusted mean. | 8, Pulmonary artery hypertension with at least one of the following:  ≥ systemic PA pressure, any RV dysfunction, associated lung disease, rheumatologic disorders, or chronic thromboembolic pulmonary hypertension,   | 9, Multivessel pulmonary vein stenosis | 10, Congenital or acquired heart disease with comorbidities of lung disease/S/P tracheostomy/ventilator dependent  | 11, Large left to right shunt lesions (e.g., estimated Qp:Qs >2, symptoms, or LVEDV or RVEDV >4) | 12, Severe heart valve dysfunction (stenosis, regurgitation, or mixed valve disease)  | 13, Right ventricular hypertension (≥70% systemic) or dysfunction (RV EF <45%). | 14, Heterotaxy participants (asplenia or polysplenia) | 15, History of Kawasaki disease | 16, Coronary heart disease, with or without history of myocardial infarction (e.g., Kawasaki disease, homozygous familial hyperlipidemia)",,,,,,"[cardiac_lesion] = ""1""",Y,,,,,
neuromuscular_hx,baseline_health_status,"Neurologic or Neuromuscular Disorders, including:

- Requires assistance clearing secretions
- Muscular dystrophy
- Static encephalopathy
- Spastic quadriplegia (e.g. cerebral palsy)
- Seizure disorder (excluding simple febrile seizures)
- Neuromuscular weakness
- Neurodevelopmental delay
- Other
",radio,Does the participant have a NEUROLOGIC AND/OR NEUROMUSCULAR DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
secretion_clearance,baseline_health_status,,radio,Does the participant need assistance with clearance of secretions (suctioning) due to swallowing dysfunction?,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
muscular_dystrophy,baseline_health_status,,radio,Muscular dystrophy,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
static_enceph,baseline_health_status,,radio,Static encephalopathy,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
spastic_quad,baseline_health_status,,radio,Spastic quadriplegia (e.g. cerebral palsy),"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
seizure_disorder,baseline_health_status,,radio,Seizure disorder (not including simple febrile seizures),"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neuromusc_weak,baseline_health_status,,radio,Neuromuscular weakness,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neurodev_delay,baseline_health_status,,radio,Moderate or severe neurodevelopmental delay,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neuromuscular_hx_oth,baseline_health_status,,radio,Other neurologic or muscular disorder,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neuromuscular_hx_oth_list,baseline_health_status,,text,Please name condition,,,,,,,"[neuromuscular_hx_oth] = ""1""",Y,,,,,
onc_hx,baseline_health_status,Active or Prior Oncologic Disorders,radio,Does the participant have an active or prior ONCOLOGIC DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
blood_cancer,baseline_health_status,,radio,"Leukemia, Lymphoma, or unspecified cancer of bloodstream","1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
solid_tumor,baseline_health_status,,radio,"Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung)","1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
cns_tumor,baseline_health_status,,radio,Central nervous system tumor,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
neuroblastoma,baseline_health_status,,radio,Neuroblastoma,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
soft_tissue_neoplasm,baseline_health_status,,radio,Soft tissue neoplasm (e.g. rhabdomyosarcoma),"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
lung_tumor,baseline_health_status,,radio,Any tumor in the lung including metastatic disease,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
neoplast_oth,baseline_health_status,,radio,Other neoplastic condition,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
neoplast_oth_list,baseline_health_status,,text,Please name each condition:,,,,,,,"[neoplast_oth] = ""1""",Y,,,,,
active_chemo,baseline_health_status,,radio,Is the participant current on a chemotherapy or other active treatment regimen?,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
bmt_sct,baseline_health_status,,radio,Has the participant had a bone marrow or stem cell transplant?,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
car_t_therapy,baseline_health_status,,radio,Has the participant received CAR-T therapy?,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
immune_hx,baseline_health_status,"Non-oncologic Immunosuppressive Disorders, including:

- Solid organ transplant
- HIV positive or AIDS
- Primary immunodeficiency
- Bone marrow transplant for non-oncologic disease
- Other disorder requiring treatment that suppresses immune system",radio,Does the participant have a non-oncologic IMMUNOSUPRESSIVE DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
organ_transplant,baseline_health_status,,radio,Solid organ transplant,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
organ_transplant_type,baseline_health_status,,text,"If yes, list type:",,,,,,,"[organ_transplant] = ""1""",Y,,,,,
hiv,baseline_health_status,,radio,HIV positive,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
aids,baseline_health_status,,radio,AIDS,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
pri_immunodef,baseline_health_status,,radio,Primary immunodeficiency,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
